year,month,day,Carbon intensity gCO₂eq/kWh (Life cycle),hour,date,4_day_forecast
2023,10,21,289.29,0,2023-10-21,278.04751687770954
2023,10,22,267.43,0,2023-10-22,278.04751687770954
2023,10,23,298.07,0,2023-10-23,278.04751687770954
2023,10,24,232.71,0,2023-10-24,278.04751687770954
2023,10,22,267.43,0,2023-10-22,285.5425056259032
2023,10,23,298.07,0,2023-10-23,285.5425056259032
2023,10,24,232.71,0,2023-10-24,285.5425056259032
2023,10,25,231.55,0,2023-10-25,285.5425056259032
2023,10,23,298.07,0,2023-10-23,273.467501875301
2023,10,24,232.71,0,2023-10-24,273.467501875301
2023,10,25,231.55,0,2023-10-25,273.467501875301
2023,10,26,259.02,0,2023-10-26,273.467501875301
2023,10,24,232.71,0,2023-10-24,289.86916729176704
2023,10,25,231.55,0,2023-10-25,289.86916729176704
2023,10,26,259.02,0,2023-10-26,289.86916729176704
2023,10,27,297.93,0,2023-10-27,289.86916729176704
2023,10,25,231.55,0,2023-10-25,251.76305576392235
2023,10,26,259.02,0,2023-10-26,251.76305576392235
2023,10,27,297.93,0,2023-10-27,251.76305576392235
2023,10,28,272.34,0,2023-10-28,251.76305576392235
2023,10,26,259.02,0,2023-10-26,238.2876852546408
2023,10,27,297.93,0,2023-10-27,238.2876852546408
2023,10,28,272.34,0,2023-10-28,238.2876852546408
2023,10,29,266.01,0,2023-10-29,238.2876852546408
2023,10,27,297.93,0,2023-10-27,252.1092284182136
2023,10,28,272.34,0,2023-10-28,252.1092284182136
2023,10,29,266.01,0,2023-10-29,252.1092284182136
2023,10,30,270.99,0,2023-10-30,252.1092284182136
2023,10,28,272.34,0,2023-10-28,282.65640947273783
2023,10,29,266.01,0,2023-10-29,282.65640947273783
2023,10,30,270.99,0,2023-10-30,282.65640947273783
2023,10,31,241.25,0,2023-10-31,282.65640947273783
2023,10,29,266.01,0,2023-10-29,275.77880315757926
2023,10,30,270.99,0,2023-10-30,275.77880315757926
2023,10,31,241.25,0,2023-10-31,275.77880315757926
2023,11,1,229.06,0,2023-11-01,275.77880315757926
2023,10,30,270.99,0,2023-10-30,269.2662677191931
2023,10,31,241.25,0,2023-10-31,269.2662677191931
2023,11,1,229.06,0,2023-11-01,269.2662677191931
2023,11,2,262.53,0,2023-11-02,269.2662677191931
2023,10,31,241.25,0,2023-10-31,270.4154225730644
2023,11,1,229.06,0,2023-11-01,270.4154225730644
2023,11,2,262.53,0,2023-11-02,270.4154225730644
2023,11,3,257.57,0,2023-11-03,270.4154225730644
2023,11,1,229.06,0,2023-11-01,250.97180752435483
2023,11,2,262.53,0,2023-11-02,250.97180752435483
2023,11,3,257.57,0,2023-11-03,250.97180752435483
2023,11,4,271.06,0,2023-11-04,250.97180752435483
2023,11,2,262.53,0,2023-11-02,236.3639358414516
2023,11,3,257.57,0,2023-11-03,236.3639358414516
2023,11,4,271.06,0,2023-11-04,236.3639358414516
2023,11,5,304.55,0,2023-11-05,236.3639358414516
2023,11,3,257.57,0,2023-11-03,253.8079786138172
2023,11,4,271.06,0,2023-11-04,253.8079786138172
2023,11,5,304.55,0,2023-11-05,253.8079786138172
2023,11,6,251.81,0,2023-11-06,253.8079786138172
2023,11,4,271.06,0,2023-11-04,256.3159928712724
2023,11,5,304.55,0,2023-11-05,256.3159928712724
2023,11,6,251.81,0,2023-11-06,256.3159928712724
2023,11,7,261.18,0,2023-11-07,256.3159928712724
2023,11,5,304.55,0,2023-11-05,266.14533095709083
2023,11,6,251.81,0,2023-11-06,266.14533095709083
2023,11,7,261.18,0,2023-11-07,266.14533095709083
2023,11,8,219.15,0,2023-11-08,266.14533095709083
2023,11,6,251.81,0,2023-11-06,291.7484436523636
2023,11,7,261.18,0,2023-11-07,291.7484436523636
2023,11,8,219.15,0,2023-11-08,291.7484436523636
2023,11,9,232.92,0,2023-11-09,291.7484436523636
2023,11,7,261.18,0,2023-11-07,265.12281455078784
2023,11,8,219.15,0,2023-11-08,265.12281455078784
2023,11,9,232.92,0,2023-11-09,265.12281455078784
2023,11,10,305.51,0,2023-11-10,265.12281455078784
2023,11,8,219.15,0,2023-11-08,262.4942715169293
2023,11,9,232.92,0,2023-11-09,262.4942715169293
2023,11,10,305.51,0,2023-11-10,262.4942715169293
2023,11,11,280.89,0,2023-11-11,262.4942715169293
2023,11,9,232.92,0,2023-11-09,233.59809050564309
2023,11,10,305.51,0,2023-11-10,233.59809050564309
2023,11,11,280.89,0,2023-11-11,233.59809050564309
2023,11,12,236.02,0,2023-11-12,233.59809050564309
2023,11,10,305.51,0,2023-11-10,233.14603016854767
2023,11,11,280.89,0,2023-11-11,233.14603016854767
2023,11,12,236.02,0,2023-11-12,233.14603016854767
2023,11,13,186.77,0,2023-11-13,233.14603016854767
2023,11,11,280.89,0,2023-11-11,281.3886767228492
2023,11,12,236.02,0,2023-11-12,281.3886767228492
2023,11,13,186.77,0,2023-11-13,281.3886767228492
2023,11,14,227.57,0,2023-11-14,281.3886767228492
2023,11,12,236.02,0,2023-11-12,281.056225574283
2023,11,13,186.77,0,2023-11-13,281.056225574283
2023,11,14,227.57,0,2023-11-14,281.056225574283
2023,11,15,242.59,0,2023-11-15,281.056225574283
2023,11,13,186.77,0,2023-11-13,251.03207519142768
2023,11,14,227.57,0,2023-11-14,251.03207519142768
2023,11,15,242.59,0,2023-11-15,251.03207519142768
2023,11,16,237.84,0,2023-11-16,251.03207519142768
2023,11,14,227.57,0,2023-11-14,208.19069173047592
2023,11,15,242.59,0,2023-11-15,208.19069173047592
2023,11,16,237.84,0,2023-11-16,208.19069173047592
2023,11,17,211.81,0,2023-11-17,208.19069173047592
2023,11,15,242.59,0,2023-11-15,221.1102305768253
2023,11,16,237.84,0,2023-11-16,221.1102305768253
2023,11,17,211.81,0,2023-11-17,221.1102305768253
2023,11,18,238.23,0,2023-11-18,221.1102305768253
2023,11,16,237.84,0,2023-11-16,235.43007685894176
2023,11,17,211.81,0,2023-11-17,235.43007685894176
