year,month,day,Carbon intensity gCO₂eq/kWh (Life cycle),prediction,hour,date
2023,10,21,289.29,278.04751687770954,0,2023-10-21
2023,10,22,267.43,285.5425056259032,0,2023-10-22
2023,10,23,298.07,273.467501875301,0,2023-10-23
2023,10,24,232.71,289.86916729176704,0,2023-10-24
2023,10,25,231.55,251.76305576392235,0,2023-10-25
2023,10,26,259.02,238.2876852546408,0,2023-10-26
2023,10,27,297.93,252.10922841821358,0,2023-10-27
2023,10,28,272.34,282.65640947273783,0,2023-10-28
2023,10,29,266.01,275.77880315757926,0,2023-10-29
2023,10,30,270.99,269.2662677191931,0,2023-10-30
2023,10,31,241.25,270.4154225730644,0,2023-10-31
2023,11,1,229.06,250.97180752435483,0,2023-11-01
2023,11,2,262.53,236.36393584145162,0,2023-11-02
2023,11,3,257.57,253.8079786138172,0,2023-11-03
2023,11,4,271.06,256.3159928712724,0,2023-11-04
2023,11,5,304.55,266.14533095709083,0,2023-11-05
2023,11,6,251.81,291.7484436523636,0,2023-11-06
2023,11,7,261.18,265.12281455078784,0,2023-11-07
2023,11,8,219.15,262.4942715169293,0,2023-11-08
2023,11,9,232.92,233.59809050564309,0,2023-11-09
2023,11,10,305.51,233.14603016854767,0,2023-11-10
2023,11,11,280.89,281.3886767228492,0,2023-11-11
2023,11,12,236.02,281.056225574283,0,2023-11-12
2023,11,13,186.77,251.03207519142768,0,2023-11-13
2023,11,14,227.57,208.19069173047592,0,2023-11-14
2023,11,15,242.59,221.1102305768253,0,2023-11-15
2023,11,16,237.84,235.43007685894176,0,2023-11-16
2023,11,17,211.81,237.03669228631392,0,2023-11-17
2023,11,18,238.23,220.21889742877133,0,2023-11-18
2023,11,19,214.35,232.22629914292375,0,2023-11-19
2023,11,20,262.51,220.3087663809746,0,2023-11-20
2023,11,21,236.38,248.44292212699153,0,2023-11-21
2023,11,22,259.84,240.40097404233052,0,2023-11-22
2023,11,23,210.78,253.3603246807768,0,2023-11-23
2023,11,24,263.37,224.97344156025895,0,2023-11-24
2023,11,25,256.51,250.571147186753,0,2023-11-25
2023,11,26,231.52,254.53038239558433,0,2023-11-26
2023,11,27,292.61,239.1901274651948,0,2023-11-27
2023,11,28,300.84,274.8033758217316,0,2023-11-28
2023,11,29,202.95,292.1611252739105,0,2023-11-29
2023,11,30,216.41,232.68704175797015,0,2023-11-30
2023,12,1,278.77,221.83568058599005,0,2023-12-01
2023,12,2,222.25,259.79189352866337,0,2023-12-02
2023,12,3,179.92,234.76396450955448,0,2023-12-03
2023,12,4,188.88,198.2013215031848,0,2023-12-04
2023,12,5,269.98,191.98710716772825,0,2023-12-05
2023,12,6,265.72,243.98236905590943,0,2023-12-06
2023,12,7,254.45,258.4741230186365,0,2023-12-07
2023,12,8,247.92,255.7913743395455,0,2023-12-08
2023,12,9,178.83,250.54379144651514,0,2023-12-09
2023,12,10,200.03,202.7345971488384,0,2023-12-10
2023,12,11,252.79,200.93153238294613,0,2023-12-11
2023,12,12,235.03,235.5038441276487,0,2023-12-12
2023,12,13,239.38,235.18794804254958,0,2023-12-13
2023,12,14,273.89,237.9826493475165,0,2023-12-14
2023,12,15,263.97,261.9208831158388,0,2023-12-15
2023,12,16,283.82,263.28696103861296,0,2023-12-16
2023,12,17,253.2,276.97565367953763,0,2023-12-17
2023,12,18,188.66,261.12521789317924,0,2023-12-18
2023,12,19,261.12,212.81507263105973,0,2023-12-19
2023,12,20,267.15,245.01835754368656,0,2023-12-20
2023,12,21,227.63,259.7727858478955,0,2023-12-21
2023,12,22,288.74,238.34426194929847,0,2023-12-22
2023,12,23,267.74,271.94142064976614,0,2023-12-23
2023,12,24,292.7,269.14047354992204,0,2023-12-24
2023,12,25,251.06,284.84682451664065,0,2023-12-25
2023,12,26,251.16,262.3222748388802,0,2023-12-26
2023,12,27,333.16,254.88075827962675,0,2023-12-27
2023,12,28,334.56,307.06691942654226,0,2023-12-28
2023,12,29,321.2,325.3956398088474,0,2023-12-29
2023,12,30,278.31,322.59854660294917,0,2023-12-30
2023,12,31,246.1,293.0728488676497,0,2023-12-31
2024,1,1,229.04,261.75761628921657,0,2024-01-01
2024,1,2,195.34,239.94587209640554,0,2024-01-02
2024,1,3,264.6,210.2086240321352,0,2024-01-03
2024,1,4,260.26,246.46954134404507,0,2024-01-04
2024,1,5,284.24,255.66318044801503,0,2024-01-05
2024,1,6,283.68,274.7143934826717,0,2024-01-06
2024,1,7,220.1,280.6914644942239,0,2024-01-07
2024,1,8,192.57,240.29715483140797,0,2024-01-08
2024,1,9,200.34,208.47905161046933,0,2024-01-09
2024,1,10,206.86,203.05301720348976,0,2024-01-10
2024,1,11,220.24,205.59100573449658,0,2024-01-11
2024,1,12,224.85,215.35700191149886,0,2024-01-12
2024,1,13,210.26,221.68566730383296,0,2024-01-13
2024,1,14,167.12,214.0685557679443,0,2024-01-14
2024,1,15,185.96,182.76951858931477,0,2024-01-15
2024,1,16,180.58,184.89650619643825,0,2024-01-16
2024,1,17,216.4,182.01883539881274,0,2024-01-17
2024,1,18,250.69,204.93961179960425,0,2024-01-18
2024,1,19,249.1,235.43987059986807,0,2024-01-19
2024,1,20,249.03,244.54662353328936,0,2024-01-20
2024,1,21,259.96,247.53554117776312,0,2024-01-21
2024,1,22,262.86,255.818513725921,0,2024-01-22
2024,1,23,339.56,260.51283790864034,0,2024-01-23
2024,1,24,288.0,313.2109459695468,0,2024-01-24
2024,1,25,301.19,296.4036486565156,0,2024-01-25
2024,1,26,350.77,299.5945495521719,0,2024-01-26
2024,1,27,350.34,333.71151651739063,0,2024-01-27
2024,1,28,285.75,344.7971721724635,0,2024-01-28
2024,1,29,295.83,305.43239072415446,0,2024-01-29
2024,1,30,339.87,299.0307969080515,0,2024-01-30
2024,1,31,336.46,326.2569323026839,0,2024-01-31
2024,2,1,336.08,333.0589774342279,0,2024-02-01
2024,2,2,329.6,335.07299247807595,0,2024-02-02
2024,2,3,307.95,331.42433082602537,0,2024-02-03
2024,2,4,299.17,315.77477694200843,0,2024-02-04
2024,2,5,330.83,304.70492564733615,0,2024-02-05
2024,2,6,371.09,322.1216418824454,0,2024-02-06
2024,2,7,359.08,354.7672139608151,0,2024-02-07
2024,2,8,323.79,357.64240465360507,0,2024-02-08
2024,2,9,356.14,335.074134884535,0,2024-02-09
2024,2,10,347.26,349.11804496151166,0,2024-02-10
2024,2,11,352.78,347.8793483205039,0,2024-02-11
2024,2,12,294.5,351.14644944016794,0,2024-02-12
2024,2,13,315.67,313.38214981338933,0,2024-02-13
2024,2,14,353.63,314.9073832711298,0,2024-02-14
2024,2,15,350.67,340.7224610903766,0,2024-02-15
2024,2,16,341.18,347.35415369679225,0,2024-02-16
2024,2,17,282.35,343.23805123226407,0,2024-02-17
2024,2,18,275.35,302.6460170774214,0,2024-02-18
2024,2,19,330.9,284.4486723591405,0,2024-02-19
2024,2,20,347.29,315.4162241197135,0,2024-02-20
2024,2,21,372.34,336.66540803990455,0,2024-02-21
2024,2,22,369.84,360.4484693466348,0,2024-02-22
2024,2,23,351.06,366.7094897822116,0,2024-02-23
2024,2,24,349.65,356.2764965940705,0,2024-02-24
2024,2,25,339.16,351.8588321980235,0,2024-02-25
2024,2,26,346.45,343.39294406600783,0,2024-02-26
2024,2,27,353.88,345.4309813553359,0,2024-02-27
2024,2,28,354.84,351.0636604517786,0,2024-02-28
2024,2,29,361.75,353.58122015059286,0,2024-02-29
2024,3,1,348.58,359.02707338353093,0,2024-03-01
2024,3,2,337.05,352.06235779451026,0,2024-03-02
2024,3,3,319.22,342.05411926483674,0,2024-03-03
2024,3,4,333.37,326.83137308827895,0,2024-03-04
2024,3,5,331.2,331.190457696093,0,2024-03-05
2024,3,6,350.87,331.196819232031,0,2024-03-06
2024,3,7,350.98,344.31227307734366,0,2024-03-07
2024,3,8,341.47,348.75742435911457,0,2024-03-08
2024,3,9,302.98,343.8991414530382,0,2024-03-09
2024,3,10,266.68,316.61971381767944,0,2024-03-10
2024,3,11,333.7,283.3265712725598,0,2024-03-11
2024,3,12,293.27,316.90885709085325,0,2024-03-12
2024,3,13,290.77,301.1496190302844,0,2024-03-13
2024,3,14,331.36,294.22987301009476,0,2024-03-14
2024,3,15,278.47,318.9832910033649,0,2024-03-15
2024,3,16,286.39,291.974430334455,0,2024-03-16
2024,3,17,328.98,288.2514767781517,0,2024-03-17
2024,3,18,298.81,315.4038255927173,0,2024-03-18
2024,3,19,396.38,304.34127519757243,0,2024-03-19
2024,3,20,391.29,365.7004250658575,0,2024-03-20
2024,3,21,391.7,382.76014168861917,0,2024-03-21
2024,3,22,426.3,388.7200472295397,0,2024-03-22
2024,3,23,406.12,413.7733490765133,0,2024-03-23
2024,3,24,324.61,408.67111635883776,0,2024-03-24
2024,3,25,334.52,352.63037211961256,0,2024-03-25
2024,3,26,373.27,340.55679070653747,0,2024-03-26
2024,3,27,366.42,362.3655969021791,0,2024-03-27
2024,3,28,357.33,365.0685323007264,0,2024-03-28
2024,3,29,369.9,359.9095107669088,0,2024-03-29
2024,3,30,350.91,366.56983692230295,0,2024-03-30
2024,3,31,353.03,356.12994564076763,0,2024-03-31
2024,4,1,363.47,354.0633152135892,0,2024-04-01
2024,4,2,362.4,360.33443840452975,0,2024-04-02
2024,4,3,408.02,361.71147946817655,0,2024-04-03
2024,4,4,361.33,392.58382648939215,0,2024-04-04
2024,4,5,327.39,371.74794216313074,0,2024-04-05
2024,4,6,344.92,342.1759807210436,0,2024-04-06
2024,4,7,344.18,344.00532690701453,0,2024-04-07
2024,4,8,357.97,344.12177563567155,0,2024-04-08
2024,4,9,333.53,353.35392521189056,0,2024-04-09
2024,4,10,363.16,340.13797507063015,0,2024-04-10
2024,4,11,430.76,355.4859916902101,0,2024-04-11
2024,4,12,442.34,405.6686638967367,0,2024-04-12
2024,4,13,380.03,430.1162212989122,0,2024-04-13
2024,4,14,442.12,396.7254070996374,0,2024-04-14
2024,4,15,448.17,426.9884690332124,0,2024-04-15
2024,4,16,402.49,441.1094896777375,0,2024-04-16
2024,4,17,375.87,415.3631632259125,0,2024-04-17
2024,4,18,426.14,389.0343877419709,0,2024-04-18
2024,4,19,445.68,413.771462580657,0,2024-04-19
2024,4,20,437.52,435.043820860219,0,2024-04-20
2024,4,21,418.14,436.6946069534063,0,2024-04-21
2024,4,22,436.71,424.32486898446876,0,2024-04-22
2024,4,23,417.09,432.5816229948229,0,2024-04-23
2024,4,24,444.56,422.2538743316076,0,2024-04-24
2024,4,25,391.08,437.12462477720254,0,2024-04-25
2024,4,26,337.67,406.4282082590675,0,2024-04-26
2024,4,27,362.19,360.5894027530225,0,2024-04-27
2024,4,28,345.06,361.6564675843408,0,2024-04-28
2024,4,29,352.92,350.592155861447,0,2024-04-29
2024,4,30,400.79,352.1440519538157,0,2024-04-30
2024,5,1,356.92,384.5746839846052,0,2024-05-01
2024,5,2,354.94,366.13822799486843,0,2024-05-02
2024,5,3,346.34,358.67274266495616,0,2024-05-03
2024,5,4,324.08,350.45091422165206,0,2024-05-04
2024,5,5,323.91,332.8703047405507,0,2024-05-05
2024,5,6,323.85,326.8967682468503,0,2024-05-06
2024,5,7,337.35,324.8655894156168,0,2024-05-07
2024,5,8,404.88,333.18852980520563,0,2024-05-08
2024,5,9,347.22,380.9828432684019,0,2024-05-09
2024,5,10,418.73,358.4742810894673,0,2024-05-10
2024,5,11,396.54,398.64476036315574,0,2024-05-11
2024,5,12,333.05,397.24158678771863,0,2024-05-12
2024,5,13,301.35,354.4471955959062,0,2024-05-13
2024,5,14,355.93,319.0490651986354,0,2024-05-14
2024,5,15,394.46,343.63635506621176,0,2024-05-15
2024,5,16,417.99,377.51878502207063,0,2024-05-16
2024,5,17,385.36,404.4995950073569,0,2024-05-17
2024,5,18,370.21,391.7398650024523,0,2024-05-18
2024,5,19,381.7,377.3866216674841,0,2024-05-19
2024,5,20,395.06,380.2622072224947,0,2024-05-20
2024,5,21,352.59,390.12740240749827,0,2024-05-21
2024,5,22,403.38,365.102467469166,0,2024-05-22
2024,5,23,440.3,390.620822489722,0,2024-05-23
2024,5,24,433.97,423.74027416324066,0,2024-05-24
2024,5,25,425.98,430.5600913877469,0,2024-05-25
2024,5,26,443.1,427.506697129249,0,2024-05-26
2024,5,27,389.29,437.90223237641635,0,2024-05-27
2024,5,28,445.86,405.4940774588055,0,2024-05-28
2024,5,29,376.3,432.4046924862685,0,2024-05-29
2024,5,30,389.45,395.00156416208955,0,2024-05-30
2024,5,31,421.62,391.3005213873632,0,2024-05-31
2024,6,1,410.66,411.5135071291211,0,2024-06-01
2024,6,2,394.54,410.94450237637375,0,2024-06-02
2024,6,3,401.36,400.0081674587912,0,2024-06-03
2024,6,4,401.85,400.9093891529304,0,2024-06-04
2024,6,5,379.34,401.5364630509768,0,2024-06-05
2024,6,6,373.06,386.73882101699223,0,2024-06-06
2024,6,7,320.69,377.61960700566414,0,2024-06-07
2024,6,8,377.99,339.6665356685547,0,2024-06-08
2024,6,9,221.19,365.2155118895182,0,2024-06-09
2024,6,10,297.83,269.19850396317275,0,2024-06-10
2024,6,11,304.23,288.28616798772424,0,2024-06-11
2024,6,12,328.9,298.9153893292414,0,2024-06-12
2024,6,13,228.97,318.9051297764138,0,2024-06-13
2024,6,14,269.96,258.94837659213795,0,2024-06-14
2024,6,15,287.91,266.28945886404597,0,2024-06-15
2024,6,16,319.47,280.703152954682,0,2024-06-16
2024,6,17,262.91,306.54771765156073,0,2024-06-17
2024,6,18,270.31,277.4559058838536,0,2024-06-18
2024,6,19,322.37,272.6919686279512,0,2024-06-19
2024,6,20,303.19,305.8106562093171,0,2024-06-20
2024,6,21,305.96,304.06355206977236,0,2024-06-21
2024,6,22,303.28,305.3278506899241,0,2024-06-22
2024,6,23,324.01,303.96261689664135,0,2024-06-23
2024,6,24,295.7,317.3275389655471,0,2024-06-24
2024,6,25,264.53,302.90917965518236,0,2024-06-25
2024,6,26,272.5,277.3230598850608,0,2024-06-26
2024,6,27,265.77,274.1076866283536,0,2024-06-27
2024,6,28,316.46,268.54922887611787,0,2024-06-28
2024,6,29,301.94,300.4897429587059,0,2024-06-29
2024,6,30,300.02,301.45658098623534,0,2024-06-30
2024,7,1,283.92,300.49886032874514,0,2024-07-01
2024,7,2,248.65,289.44628677624837,0,2024-07-02
2024,7,3,279.83,262.2487622587494,0,2024-07-03
2024,7,4,296.72,273.96958741958315,0,2024-07-04
2024,7,5,258.56,289.13652913986107,0,2024-07-05
2024,7,6,288.15,268.7521763799537,0,2024-07-06
2024,7,7,247.73,281.6840587933179,0,2024-07-07
2024,7,8,241.95,259.0480195977726,0,2024-07-08
2024,7,9,295.65,247.6493398659242,0,2024-07-09
2024,7,10,295.14,279.649779955308,0,2024-07-10
2024,7,11,321.06,289.976593318436,0,2024-07-11
2024,7,12,321.2,310.69886443947865,0,2024-07-12
2024,7,13,342.09,317.6996214798262,0,2024-07-13
2024,7,14,333.61,333.9598738266087,0,2024-07-14
2024,7,15,303.18,333.7266246088696,0,2024-07-15
2024,7,16,325.62,313.36220820295654,0,2024-07-16
2024,7,17,311.32,321.5340694009855,0,2024-07-17
2024,7,18,353.88,314.72468980032846,0,2024-07-18
2024,7,19,292.25,340.8282299334428,0,2024-07-19
2024,7,20,302.41,308.4427433111476,0,2024-07-20
2024,7,21,258.31,304.42091443704925,0,2024-07-21
2024,7,22,327.31,273.68030481234973,0,2024-07-22
2024,7,23,344.84,309.43343493744993,0,2024-07-23
2024,7,24,340.14,333.03781164581665,0,2024-07-24
2024,7,25,286.12,337.7726038819389,0,2024-07-25
2024,7,26,266.84,303.337534627313,0,2024-07-26
2024,7,27,248.87,279.00584487577095,0,2024-07-27
2024,7,28,224.1,258.91528162525697,0,2024-07-28
2024,7,29,251.44,235.70509387508568,0,2024-07-29
2024,7,30,336.73,246.19503129169524,0,2024-07-30
2024,7,31,344.67,306.5516770972318,0,2024-07-31
2024,8,1,318.35,331.96389236574396,0,2024-08-01
2024,8,2,238.7,322.88796412191465,0,2024-08-02
2024,8,3,267.81,266.7626547073049,0,2024-08-03
2024,8,4,279.74,267.460884902435,0,2024-08-04
2024,8,5,283.22,275.64696163414504,0,2024-08-05
2024,8,6,325.44,280.6956538780484,0,2024-08-06
2024,8,7,268.14,310.52521795934945,0,2024-08-07
2024,8,8,258.49,282.2684059864498,0,2024-08-08
2024,8,9,254.38,266.4161353288166,0,2024-08-09
2024,8,10,243.92,258.39204510960553,0,2024-08-10
2024,8,11,265.32,248.74401503653516,0,2024-08-11
2024,8,12,259.78,259.7946716788451,0,2024-08-12
2024,8,13,322.12,259.784890559615,0,2024-08-13
2024,8,14,339.36,301.34163018653834,0,2024-08-14
2024,8,15,331.12,326.6872100621795,0,2024-08-15
2024,8,16,255.93,329.6424033540598,0,2024-08-16
2024,8,17,220.34,280.50080111802,0,2024-08-17
2024,8,18,246.54,240.39360037267332,0,2024-08-18
2024,8,19,302.4,244.49120012422443,0,2024-08-19
2024,8,20,281.18,283.0970667080748,0,2024-08-20
2024,8,21,264.84,281.8190222360249,0,2024-08-21
2024,8,22,310.62,270.49967407867496,0,2024-08-22
2024,8,23,307.32,297.246558026225,0,2024-08-23
2024,8,24,298.94,303.96218600874164,0,2024-08-24
2024,8,25,263.86,300.6140620029139,0,2024-08-25
2024,8,26,296.75,276.1113540009713,0,2024-08-26
2024,8,27,267.28,289.87045133365706,0,2024-08-27
2024,8,28,292.97,274.81015044455233,0,2024-08-28
2024,8,29,292.86,286.9167168148508,0,2024-08-29
2024,8,30,337.25,290.87890560495026,0,2024-08-30
2024,8,31,294.79,321.7929685349834,0,2024-08-31
2024,9,1,306.19,303.79098951166117,0,2024-09-01
2024,9,2,284.17,305.3903298372204,0,2024-09-02
2024,9,3,269.08,291.24344327907346,0,2024-09-03
2024,9,4,274.35,276.4678144263578,0,2024-09-04
2024,9,5,252.22,275.05593814211926,0,2024-09-05
2024,9,6,247.14,259.8319793807064,0,2024-09-06
2024,9,7,241.88,251.37065979356876,0,2024-09-07
2024,9,8,226.57,245.0435532645229,0,2024-09-08
2024,9,9,231.27,232.72785108817428,0,2024-09-09
2024,9,10,248.71,231.75595036272478,0,2024-09-10
2024,9,11,232.8,243.05865012090825,0,2024-09-11
2024,9,12,211.21,236.21955004030278,0,2024-09-12
2024,9,13,237.75,219.54651668010092,0,2024-09-13
2024,9,14,245.92,231.68217222670032,0,2024-09-14
2024,9,15,235.61,241.1740574089001,0,2024-09-15
2024,9,16,233.38,237.46468580296673,0,2024-09-16
2024,9,17,267.64,234.74156193432225,0,2024-09-17
