year,month,day,carbon_intensity,prediction,hour,date
2021,7,2,450.05,451.6088579913278,0,2021-07-02
2021,7,3,452.88,450.56961933044266,0,2021-07-03
2021,7,4,454.66,452.1098731101476,0,2021-07-04
2021,7,5,413.73,453.8099577033825,0,2021-07-05
2021,7,6,426.5,427.0899859011275,0,2021-07-06
2021,7,7,447.0,426.6966619670425,0,2021-07-07
2021,7,8,464.92,440.2322206556808,0,2021-07-08
2021,7,9,437.71,456.6907402185603,0,2021-07-09
2021,7,10,388.38,444.0369134061868,0,2021-07-10
2021,7,11,411.9,406.93230446872894,0,2021-07-11
2021,7,12,428.91,410.2441014895763,0,2021-07-12
2021,7,13,376.95,422.6880338298588,0,2021-07-13
2021,7,14,379.46,392.19601127661963,0,2021-07-14
2021,7,15,350.27,383.70533709220655,0,2021-07-15
2021,7,16,370.86,361.4151123640688,0,2021-07-16
2021,7,17,400.92,367.71170412135626,0,2021-07-17
2021,7,18,399.46,389.8505680404521,0,2021-07-18
2021,7,19,460.57,396.25685601348397,0,2021-07-19
2021,7,20,446.14,439.132285337828,0,2021-07-20
2021,7,21,434.01,443.80409511260933,0,2021-07-21
2021,7,22,453.9,437.27469837086977,0,2021-07-22
2021,7,23,422.62,448.35823279028995,0,2021-07-23
2021,7,24,383.81,431.1994109300967,0,2021-07-24
2021,7,25,439.76,399.6064703100322,0,2021-07-25
2021,7,26,440.43,426.375490103344,0,2021-07-26
2021,7,27,440.18,435.74516336778134,0,2021-07-27
2021,7,28,462.83,438.7017211225938,0,2021-07-28
2021,7,29,450.38,454.7872403741979,0,2021-07-29
2021,7,30,463.64,451.8490801247326,0,2021-07-30
2021,7,31,444.22,459.70969337491084,0,2021-07-31
2021,8,1,439.62,449.3832311249703,0,2021-08-01
2021,8,2,445.6,442.8744103749901,0,2021-08-02
2021,8,3,442.44,444.69147012499667,0,2021-08-03
2021,8,4,459.27,443.19049004166556,0,2021-08-04
2021,8,5,458.28,453.91016334722184,0,2021-08-05
2021,8,6,445.14,456.8233877824073,0,2021-08-06
2021,8,7,424.1,449.03446259413573,0,2021-08-07
2021,8,8,343.78,432.41148753137855,0,2021-08-08
2021,8,9,377.4,373.32382917712613,0,2021-08-09
2021,8,10,365.09,376.0412763923753,0,2021-08-10
2021,8,11,358.07,368.7404254641251,0,2021-08-11
2021,8,12,382.63,361.62680848804166,0,2021-08-12
2021,8,13,404.62,375.62893616268053,0,2021-08-13
2021,8,14,417.22,394.9563120542268,0,2021-08-14
