year,month,day,carbon_intensity,prediction,hour,date
2021,7,2,410.08,403.58131737816433,0,2021-07-02
2021,7,3,414.68,407.9137724593881,0,2021-07-03
2021,7,4,415.26,412.42459081979604,0,2021-07-04
2021,7,5,414.12,414.3148636065987,0,2021-07-05
2021,7,6,411.06,414.1849545355329,0,2021-07-06
2021,7,7,403.46,412.1016515118443,0,2021-07-07
2021,7,8,408.64,406.3405505039481,0,2021-07-08
2021,7,9,408.61,407.87351683464937,0,2021-07-09
2021,7,10,415.97,408.36450561154976,0,2021-07-10
2021,7,11,407.09,413.4348352038499,0,2021-07-11
2021,7,12,415.05,409.20494506794995,0,2021-07-12
2021,7,13,409.65,413.10164835598334,0,2021-07-13
2021,7,14,407.46,410.8005494519944,0,2021-07-14
2021,7,15,414.23,408.57351648399816,0,2021-07-15
2021,7,16,415.54,412.34450549466607,0,2021-07-16
2021,7,17,414.94,414.4748351648887,0,2021-07-17
2021,7,18,406.82,414.7849450549629,0,2021-07-18
2021,7,19,416.13,409.4749816849876,0,2021-07-19
2021,7,20,420.52,413.91166056166253,0,2021-07-20
2021,7,21,413.48,418.3172201872208,0,2021-07-21
2021,7,22,423.96,415.0924067290736,0,2021-07-22
2021,7,23,424.48,421.00413557635784,0,2021-07-23
2021,7,24,416.9,423.32137852545264,0,2021-07-24
2021,7,25,388.19,419.0404595084842,0,2021-07-25
2021,7,26,418.44,398.4734865028281,0,2021-07-26
2021,7,27,418.93,411.78449550094274,0,2021-07-27
2021,7,28,416.3,416.54816516698094,0,2021-07-28
2021,7,29,415.42,416.382721722327,0,2021-07-29
2021,7,30,418.36,415.7409072407757,0,2021-07-30
2021,7,31,422.35,417.4869690802586,0,2021-07-31
2021,8,1,422.64,420.7289896934196,0,2021-08-01
2021,8,2,421.82,422.0029965644732,0,2021-08-02
2021,8,3,415.03,421.8809988548244,0,2021-08-03
2021,8,4,404.59,417.31366628494146,0,2021-08-04
2021,8,5,407.06,408.83122209498043,0,2021-08-05
2021,8,6,424.24,407.6504073649935,0,2021-08-06
2021,8,7,428.2,418.7101357883312,0,2021-08-07
2021,8,8,419.76,425.03671192944375,0,2021-08-08
2021,8,9,430.59,421.5189039764812,0,2021-08-09
2021,8,10,433.86,427.5663013254937,0,2021-08-10
2021,8,11,434.63,431.76210044183125,0,2021-08-11
2021,8,12,431.9,433.67403348061043,0,2021-08-12
2021,8,13,431.39,432.4913444935368,0,2021-08-13
2021,8,14,436.52,431.75711483117897,0,2021-08-14
2021,8,15,438.99,434.932371610393,0,2021-08-15
2021,8,16,439.85,437.6374572034643,0,2021-08-16
2021,8,17,446.65,439.1124857344881,0,2021-08-17
2021,8,18,430.98,444.1374952448293,0,2021-08-18
2021,8,19,429.52,435.36583174827643,0,2021-08-19
2021,8,20,429.54,431.4686105827588,0,2021-08-20
2021,8,21,427.76,430.1828701942529,0,2021-08-21
2021,8,22,429.16,428.5676233980843,0,2021-08-22
2021,8,23,427.62,428.96254113269475,0,2021-08-23
2021,8,24,427.13,428.06751371089825,0,2021-08-24
2021,8,25,429.01,427.44250457029943,0,2021-08-25
2021,8,26,425.05,428.48750152343314,0,2021-08-26
2021,8,27,427.59,426.1958338411444,0,2021-08-27
2021,8,28,434.06,427.1252779470481,0,2021-08-28
2021,8,29,460.48,431.7484259823494,0,2021-08-29
2021,8,30,449.8,450.90280866078314,0,2021-08-30
2021,8,31,451.16,450.1676028869277,0,2021-08-31
2021,9,1,448.5,450.82920096230924,0,2021-09-01
2021,9,2,446.26,449.2764003207697,0,2021-09-02
2021,9,3,440.94,447.2654667735899,0,2021-09-03
2021,9,4,444.26,443.0484889245299,0,2021-09-04
2021,9,5,444.45,443.8561629748433,0,2021-09-05
2021,9,6,445.74,444.2520543249478,0,2021-09-06
2021,9,7,449.14,445.2440181083159,0,2021-09-07
2021,9,8,448.06,447.84133936943863,0,2021-09-08
2021,9,9,448.53,447.9871131231462,0,2021-09-09
2021,9,10,447.46,448.34903770771535,0,2021-09-10
2021,9,11,450.39,447.7563459025718,0,2021-09-11
2021,9,12,449.82,449.51211530085726,0,2021-09-12
2021,9,13,449.74,449.71737176695245,0,2021-09-13
2021,9,14,446.55,449.73245725565084,0,2021-09-14
2021,9,15,448.27,447.6108190852169,0,2021-09-15
2021,9,16,448.53,448.0502730284056,0,2021-09-16
2021,9,17,444.11,448.3700910094685,0,2021-09-17
2021,9,18,442.12,445.5300303364895,0,2021-09-18
2021,9,19,445.42,443.25667677882984,0,2021-09-19
2021,9,20,444.55,444.69889225961,0,2021-09-20
2021,9,21,446.57,444.59963075320337,0,2021-09-21
2021,9,22,441.78,445.91321025106777,0,2021-09-22
2021,9,23,442.69,443.1577367503559,0,2021-09-23
2021,9,24,444.39,442.8459122501186,0,2021-09-24
2021,9,25,443.92,443.87530408337284,0,2021-09-25
2021,9,26,443.92,443.90510136112425,0,2021-09-26
2021,9,27,439.62,443.91503378704147,0,2021-09-27
2021,9,28,441.01,441.0516779290138,0,2021-09-28
2021,9,29,445.29,441.02389264300456,0,2021-09-29
2021,9,30,445.96,443.8679642143349,0,2021-09-30
2021,10,1,439.15,445.2626547381116,0,2021-10-01
2021,10,2,422.93,441.18755157937056,0,2021-10-02
2021,10,3,393.11,429.01585052645686,0,2021-10-03
2021,10,4,423.64,405.0786168421523,0,2021-10-04
2021,10,5,425.23,417.45287228071743,0,2021-10-05
2021,10,6,427.07,422.63762409357247,0,2021-10-06
2021,10,7,427.94,425.59254136452415,0,2021-10-07
2021,10,8,427.68,427.15751378817475,0,2021-10-08
2021,10,9,436.57,427.5058379293916,0,2021-10-09
2021,10,10,436.32,433.5486126431305,0,2021-10-10
2021,10,11,442.1,435.39620421437684,0,2021-10-11
2021,10,12,445.64,439.8654014047923,0,2021-10-12
2021,10,13,443.29,443.7151338015974,0,2021-10-13
2021,10,14,443.83,443.4317112671991,0,2021-10-14
2021,10,15,447.29,443.6972370890664,0,2021-10-15
2021,10,16,445.41,446.0924123630221,0,2021-10-16
2021,10,17,441.84,445.6374707876741,0,2021-10-17
2021,10,18,441.39,443.1058235958913,0,2021-10-18
2021,10,19,439.36,441.9619411986304,0,2021-10-19
2021,10,20,440.03,440.22731373287684,0,2021-10-20
2021,10,21,440.53,440.0957712442923,0,2021-10-21
2021,10,22,442.81,440.3852570814308,0,2021-10-22
2021,10,23,437.23,442.0017523604769,0,2021-10-23
2021,10,24,322.2,438.820584120159,0,2021-10-24
2021,10,25,441.49,361.07352804005296,0,2021-10-25
2021,10,26,442.44,414.6845093466843,0,2021-10-26
2021,10,27,442.19,433.18816978222804,0,2021-10-27
2021,10,28,442.84,439.18938992740937,0,2021-10-28
2021,10,29,440.23,441.6231299758031,0,2021-10-29
2021,10,30,431.05,440.694376658601,0,2021-10-30
2021,10,31,306.65,434.2647922195337,0,2021-10-31
2021,11,1,425.97,349.1882640731779,0,2021-11-01
2021,11,2,431.51,400.37608802439263,0,2021-11-02
2021,11,3,431.07,421.1320293414642,0,2021-11-03
2021,11,4,434.78,427.7573431138214,0,2021-11-04
2021,11,5,432.5,432.4391143712738,0,2021-11-05
2021,11,6,419.49,432.4797047904246,0,2021-11-06
2021,11,7,410.13,423.8199015968082,0,2021-11-07
2021,11,8,407.91,414.6933005322694,0,2021-11-08
2021,11,9,413.67,410.17110017742317,0,2021-11-09
2021,11,10,416.97,412.50370005914107,0,2021-11-10
2021,11,11,422.79,415.481233353047,0,2021-11-11
2021,11,12,425.3,420.3537444510157,0,2021-11-12
2021,11,13,422.16,423.6512481503385,0,2021-11-13
2021,11,14,421.93,422.65708271677954,0,2021-11-14
2021,11,15,414.32,422.17236090559317,0,2021-11-15
2021,11,16,412.49,416.9374536351977,0,2021-11-16
2021,11,17,415.31,413.9724845450659,0,2021-11-17
2021,11,18,426.24,414.864161515022,0,2021-11-18
2021,11,19,422.07,422.4480538383407,0,2021-11-19
2021,11,20,420.37,422.1960179461136,0,2021-11-20
2021,11,21,410.92,420.97867264870456,0,2021-11-21
2021,11,22,410.36,414.27289088290155,0,2021-11-22
2021,11,23,401.2,411.6642969609672,0,2021-11-23
2021,11,24,385.9,404.688098986989,0,2021-11-24
2021,11,25,379.73,392.16269966232966,0,2021-11-25
2021,11,26,373.26,383.8742332207766,0,2021-11-26
2021,11,27,383.74,376.79807774025886,0,2021-11-27
2021,11,28,378.06,381.4260259134196,0,2021-11-28
2021,11,29,383.62,379.1820086378066,0,2021-11-29
2021,11,30,383.29,382.1406695459355,0,2021-11-30
2021,12,1,387.03,382.9068898486452,0,2021-12-01
2021,12,2,391.19,385.6556299495484,0,2021-12-02
2021,12,3,387.71,389.34520998318277,0,2021-12-03
2021,12,4,384.65,388.25506999439426,0,2021-12-04
2021,12,5,383.7,385.8516899981314,0,2021-12-05
2021,12,6,393.5,384.4172299993772,0,2021-12-06
2021,12,7,398.68,390.47240999979243,0,2021-12-07
2021,12,8,398.79,395.94413666659744,0,2021-12-08
2021,12,9,404.14,397.84137888886585,0,2021-12-09
2021,12,10,403.87,402.0404596296219,0,2021-12-10
2021,12,11,428.11,403.260153209874,0,2021-12-11
2021,12,12,425.64,419.8267177366247,0,2021-12-12
2021,12,13,402.42,423.70223924554153,0,2021-12-13
2021,12,14,402.24,409.5140797485139,0,2021-12-14
2021,12,15,397.97,404.66469324950464,0,2021-12-15
2021,12,16,396.65,400.2015644165015,0,2021-12-16
2021,12,17,406.08,397.8338548055005,0,2021-12-17
2021,12,18,395.95,403.3312849351668,0,2021-12-18
