year,month,day,carbon_intensity,hour,date,4_day_forecast
2021,7,2,373.06,0,2021-07-02,395.87401691909
2021,7,3,327.66,0,2021-07-03,395.87401691909
2021,7,4,288.28,0,2021-07-04,395.87401691909
2021,7,5,295.56,0,2021-07-05,395.87401691909
2021,7,3,327.66,0,2021-07-03,380.66467230636334
2021,7,4,288.28,0,2021-07-04,380.66467230636334
2021,7,5,295.56,0,2021-07-05,380.66467230636334
2021,7,6,317.3,0,2021-07-06,380.66467230636334
2021,7,4,288.28,0,2021-07-04,345.3282241021211
2021,7,5,295.56,0,2021-07-05,345.3282241021211
2021,7,6,317.3,0,2021-07-06,345.3282241021211
2021,7,7,362.1,0,2021-07-07,345.3282241021211
2021,7,5,295.56,0,2021-07-05,307.29607470070704
2021,7,6,317.3,0,2021-07-06,307.29607470070704
2021,7,7,362.1,0,2021-07-07,307.29607470070704
2021,7,8,382.01,0,2021-07-08,307.29607470070704
2021,7,6,317.3,0,2021-07-06,299.4720249002357
2021,7,7,362.1,0,2021-07-07,299.4720249002357
2021,7,8,382.01,0,2021-07-08,299.4720249002357
2021,7,9,341.99,0,2021-07-09,299.4720249002357
2021,7,7,362.1,0,2021-07-07,311.35734163341186
2021,7,8,382.01,0,2021-07-08,311.35734163341186
2021,7,9,341.99,0,2021-07-09,311.35734163341186
2021,7,10,343.14,0,2021-07-10,311.35734163341186
2021,7,8,382.01,0,2021-07-08,345.1857805444706
2021,7,9,341.99,0,2021-07-09,345.1857805444706
2021,7,10,343.14,0,2021-07-10,345.1857805444706
2021,7,11,343.71,0,2021-07-11,345.1857805444706
2021,7,9,341.99,0,2021-07-09,369.7352601814902
2021,7,10,343.14,0,2021-07-10,369.7352601814902
2021,7,11,343.71,0,2021-07-11,369.7352601814902
2021,7,12,345.86,0,2021-07-12,369.7352601814902
2021,7,10,343.14,0,2021-07-10,351.2384200604968
2021,7,11,343.71,0,2021-07-11,351.2384200604968
2021,7,12,345.86,0,2021-07-12,351.2384200604968
2021,7,13,360.43,0,2021-07-13,351.2384200604968
2021,7,11,343.71,0,2021-07-11,345.83947335349893
2021,7,12,345.86,0,2021-07-12,345.83947335349893
2021,7,13,360.43,0,2021-07-13,345.83947335349893
2021,7,14,348.71,0,2021-07-14,345.83947335349893
2021,7,12,345.86,0,2021-07-12,344.4198244511663
2021,7,13,360.43,0,2021-07-13,344.4198244511663
2021,7,14,348.71,0,2021-07-14,344.4198244511663
2021,7,15,354.78,0,2021-07-15,344.4198244511663
2021,7,13,360.43,0,2021-07-13,345.3799414837221
2021,7,14,348.71,0,2021-07-14,345.3799414837221
2021,7,15,354.78,0,2021-07-15,345.3799414837221
2021,7,16,381.52,0,2021-07-16,345.3799414837221
2021,7,14,348.71,0,2021-07-14,355.41331382790736
2021,7,15,354.78,0,2021-07-15,355.41331382790736
2021,7,16,381.52,0,2021-07-16,355.41331382790736
2021,7,17,388.21,0,2021-07-17,355.41331382790736
2021,7,15,354.78,0,2021-07-15,350.9444379426357
2021,7,16,381.52,0,2021-07-16,350.9444379426357
2021,7,17,388.21,0,2021-07-17,350.9444379426357
2021,7,18,371.16,0,2021-07-18,350.9444379426357
2021,7,16,381.52,0,2021-07-16,353.50147931421185
2021,7,17,388.21,0,2021-07-17,353.50147931421185
2021,7,18,371.16,0,2021-07-18,353.50147931421185
2021,7,19,356.96,0,2021-07-19,353.50147931421185
2021,7,17,388.21,0,2021-07-17,372.18049310473725
2021,7,18,371.16,0,2021-07-18,372.18049310473725
2021,7,19,356.96,0,2021-07-19,372.18049310473725
2021,7,20,364.94,0,2021-07-20,372.18049310473725
2021,7,18,371.16,0,2021-07-18,382.8668310349124
2021,7,19,356.96,0,2021-07-19,382.8668310349124
2021,7,20,364.94,0,2021-07-20,382.8668310349124
2021,7,21,365.55,0,2021-07-21,382.8668310349124
2021,7,19,356.96,0,2021-07-19,375.0622770116375
2021,7,20,364.94,0,2021-07-20,375.0622770116375
2021,7,21,365.55,0,2021-07-21,375.0622770116375
2021,7,22,361.56,0,2021-07-22,375.0622770116375
2021,7,20,364.94,0,2021-07-20,362.9940923372125
2021,7,21,365.55,0,2021-07-21,362.9940923372125
2021,7,22,361.56,0,2021-07-22,362.9940923372125
2021,7,23,344.83,0,2021-07-23,362.9940923372125
2021,7,21,365.55,0,2021-07-21,364.29136411240415
2021,7,22,361.56,0,2021-07-22,364.29136411240415
2021,7,23,344.83,0,2021-07-23,364.29136411240415
2021,7,24,356.18,0,2021-07-24,364.29136411240415
2021,7,22,361.56,0,2021-07-22,365.1304547041347
2021,7,23,344.83,0,2021-07-23,365.1304547041347
2021,7,24,356.18,0,2021-07-24,365.1304547041347
2021,7,25,350.34,0,2021-07-25,365.1304547041347
2021,7,23,344.83,0,2021-07-23,362.7501515680449
2021,7,24,356.18,0,2021-07-24,362.7501515680449
2021,7,25,350.34,0,2021-07-25,362.7501515680449
2021,7,26,351.26,0,2021-07-26,362.7501515680449
2021,7,24,356.18,0,2021-07-24,350.803383856015
2021,7,25,350.34,0,2021-07-25,350.803383856015
2021,7,26,351.26,0,2021-07-26,350.803383856015
2021,7,27,373.0,0,2021-07-27,350.803383856015
2021,7,25,350.34,0,2021-07-25,354.3877946186717
2021,7,26,351.26,0,2021-07-26,354.3877946186717
2021,7,27,373.0,0,2021-07-27,354.3877946186717
2021,7,28,368.37,0,2021-07-28,354.3877946186717
2021,7,26,351.26,0,2021-07-26,351.68926487289053
2021,7,27,373.0,0,2021-07-27,351.68926487289053
2021,7,28,368.37,0,2021-07-28,351.68926487289053
2021,7,29,355.46,0,2021-07-29,351.68926487289053
2021,7,27,373.0,0,2021-07-27,351.4030882909635
2021,7,28,368.37,0,2021-07-28,351.4030882909635
2021,7,29,355.46,0,2021-07-29,351.4030882909635
2021,7,30,348.76,0,2021-07-30,351.4030882909635
2021,7,28,368.37,0,2021-07-28,365.8010294303212
2021,7,29,355.46,0,2021-07-29,365.8010294303212
2021,7,30,348.76,0,2021-07-30,365.8010294303212
2021,7,31,333.72,0,2021-07-31,365.8010294303212
2021,7,29,355.46,0,2021-07-29,367.51367647677375
2021,7,30,348.76,0,2021-07-30,367.51367647677375
2021,7,31,333.72,0,2021-07-31,367.51367647677375
2021,8,1,315.44,0,2021-08-01,367.51367647677375
2021,7,30,348.76,0,2021-07-30,359.47789215892453
2021,7,31,333.72,0,2021-07-31,359.47789215892453
2021,8,1,315.44,0,2021-08-01,359.47789215892453
2021,8,2,328.56,0,2021-08-02,359.47789215892453
2021,7,31,333.72,0,2021-07-31,352.3326307196415
2021,8,1,315.44,0,2021-08-01,352.3326307196415
2021,8,2,328.56,0,2021-08-02,352.3326307196415
2021,8,3,338.48,0,2021-08-03,352.3326307196415
2021,8,1,315.44,0,2021-08-01,339.9242102398805
2021,8,2,328.56,0,2021-08-02,339.9242102398805
2021,8,3,338.48,0,2021-08-03,339.9242102398805
2021,8,4,346.15,0,2021-08-04,339.9242102398805
2021,8,2,328.56,0,2021-08-02,323.6014034132935
2021,8,3,338.48,0,2021-08-03,323.6014034132935
2021,8,4,346.15,0,2021-08-04,323.6014034132935
2021,8,5,347.2,0,2021-08-05,323.6014034132935
2021,8,3,338.48,0,2021-08-03,326.90713447109783
2021,8,4,346.15,0,2021-08-04,326.90713447109783
2021,8,5,347.2,0,2021-08-05,326.90713447109783
2021,8,6,355.6,0,2021-08-06,326.90713447109783
2021,8,4,346.15,0,2021-08-04,334.62237815703264
2021,8,5,347.2,0,2021-08-05,334.62237815703264
2021,8,6,355.6,0,2021-08-06,334.62237815703264
2021,8,7,363.84,0,2021-08-07,334.62237815703264
2021,8,5,347.2,0,2021-08-05,342.30745938567753
2021,8,6,355.6,0,2021-08-06,342.30745938567753
2021,8,7,363.84,0,2021-08-07,342.30745938567753
2021,8,8,373.42,0,2021-08-08,342.30745938567753
2021,8,6,355.6,0,2021-08-06,345.5691531285592
2021,8,7,363.84,0,2021-08-07,345.5691531285592
2021,8,8,373.42,0,2021-08-08,345.5691531285592
2021,8,9,367.8,0,2021-08-09,345.5691531285592
2021,8,7,363.84,0,2021-08-07,352.2563843761864
2021,8,8,373.42,0,2021-08-08,352.2563843761864
2021,8,9,367.8,0,2021-08-09,352.2563843761864
2021,8,10,367.49,0,2021-08-10,352.2563843761864
2021,8,8,373.42,0,2021-08-08,359.97879479206216
2021,8,9,367.8,0,2021-08-09,359.97879479206216
2021,8,10,367.49,0,2021-08-10,359.97879479206216
2021,8,11,368.27,0,2021-08-11,359.97879479206216
2021,8,9,367.8,0,2021-08-09,368.93959826402073
2021,8,10,367.49,0,2021-08-10,368.93959826402073
2021,8,11,368.27,0,2021-08-11,368.93959826402073
2021,8,12,386.82,0,2021-08-12,368.93959826402073
2021,8,10,367.49,0,2021-08-10,368.1798660880069
2021,8,11,368.27,0,2021-08-11,368.1798660880069
2021,8,12,386.82,0,2021-08-12,368.1798660880069
2021,8,13,384.82,0,2021-08-13,368.1798660880069
2021,8,11,368.27,0,2021-08-11,367.719955362669
2021,8,12,386.82,0,2021-08-12,367.719955362669
2021,8,13,384.82,0,2021-08-13,367.719955362669
2021,8,14,386.52,0,2021-08-14,367.719955362669
2021,8,12,386.82,0,2021-08-12,368.0866517875563
2021,8,13,384.82,0,2021-08-13,368.0866517875563
2021,8,14,386.52,0,2021-08-14,368.0866517875563
2021,8,15,371.64,0,2021-08-15,368.0866517875563
2021,8,13,384.82,0,2021-08-13,380.5755505958521
2021,8,14,386.52,0,2021-08-14,380.5755505958521
2021,8,15,371.64,0,2021-08-15,380.5755505958521
2021,8,16,350.49,0,2021-08-16,380.5755505958521
2021,8,14,386.52,0,2021-08-14,383.40518353195074
2021,8,15,371.64,0,2021-08-15,383.40518353195074
2021,8,16,350.49,0,2021-08-16,383.40518353195074
2021,8,17,369.25,0,2021-08-17,383.40518353195074
2021,8,15,371.64,0,2021-08-15,385.4817278439836
2021,8,16,350.49,0,2021-08-16,385.4817278439836
2021,8,17,369.25,0,2021-08-17,385.4817278439836
2021,8,18,367.72,0,2021-08-18,385.4817278439836
2021,8,16,350.49,0,2021-08-16,376.2539092813279
2021,8,17,369.25,0,2021-08-17,376.2539092813279
2021,8,18,367.72,0,2021-08-18,376.2539092813279
2021,8,19,375.76,0,2021-08-19,376.2539092813279
2021,8,17,369.25,0,2021-08-17,359.0779697604426
2021,8,18,367.72,0,2021-08-18,359.0779697604426
2021,8,19,375.76,0,2021-08-19,359.0779697604426
2021,8,20,377.89,0,2021-08-20,359.0779697604426
2021,8,18,367.72,0,2021-08-18,365.85932325348085
2021,8,19,375.76,0,2021-08-19,365.85932325348085
2021,8,20,377.89,0,2021-08-20,365.85932325348085
2021,8,21,376.93,0,2021-08-21,365.85932325348085
2021,8,19,375.76,0,2021-08-19,367.09977441782695
2021,8,20,377.89,0,2021-08-20,367.09977441782695
2021,8,21,376.93,0,2021-08-21,367.09977441782695
2021,8,22,376.04,0,2021-08-22,367.09977441782695
2021,8,20,377.89,0,2021-08-20,372.8732581392756
2021,8,21,376.93,0,2021-08-21,372.8732581392756
2021,8,22,376.04,0,2021-08-22,372.8732581392756
2021,8,23,368.06,0,2021-08-23,372.8732581392756
2021,8,21,376.93,0,2021-08-21,376.21775271309184
2021,8,22,376.04,0,2021-08-22,376.21775271309184
2021,8,23,368.06,0,2021-08-23,376.21775271309184
2021,8,24,376.72,0,2021-08-24,376.21775271309184
2021,8,22,376.04,0,2021-08-22,376.6925842376973
2021,8,23,368.06,0,2021-08-23,376.6925842376973
2021,8,24,376.72,0,2021-08-24,376.6925842376973
2021,8,25,381.02,0,2021-08-25,376.6925842376973
2021,8,23,368.06,0,2021-08-23,376.2575280792324
2021,8,24,376.72,0,2021-08-24,376.2575280792324
2021,8,25,381.02,0,2021-08-25,376.2575280792324
2021,8,26,383.9,0,2021-08-26,376.2575280792324
2021,8,24,376.72,0,2021-08-24,370.79250935974414
2021,8,25,381.02,0,2021-08-25,370.79250935974414
2021,8,26,383.9,0,2021-08-26,370.79250935974414
2021,8,27,376.06,0,2021-08-27,370.79250935974414
2021,8,25,381.02,0,2021-08-25,374.7441697865814
2021,8,26,383.9,0,2021-08-26,374.7441697865814
2021,8,27,376.06,0,2021-08-27,374.7441697865814
2021,8,28,386.43,0,2021-08-28,374.7441697865814
2021,8,26,383.9,0,2021-08-26,378.9280565955271
2021,8,27,376.06,0,2021-08-27,378.9280565955271
2021,8,28,386.43,0,2021-08-28,378.9280565955271
2021,8,29,359.87,0,2021-08-29,378.9280565955271
2021,8,27,376.06,0,2021-08-27,382.2426855318424
2021,8,28,386.43,0,2021-08-28,382.2426855318424
2021,8,29,359.87,0,2021-08-29,382.2426855318424
2021,8,30,366.46,0,2021-08-30,382.2426855318424
