year,month,day,carbon_intensity,prediction,hour,date
2021,7,2,373.06,395.87401691909,0,2021-07-02
2021,7,3,327.66,380.66467230636334,0,2021-07-03
2021,7,4,288.28,345.3282241021211,0,2021-07-04
2021,7,5,295.56,307.29607470070704,0,2021-07-05
2021,7,6,317.3,299.4720249002357,0,2021-07-06
2021,7,7,362.1,311.35734163341186,0,2021-07-07
2021,7,8,382.01,345.1857805444706,0,2021-07-08
2021,7,9,341.99,369.7352601814902,0,2021-07-09
2021,7,10,343.14,351.23842006049676,0,2021-07-10
2021,7,11,343.71,345.83947335349893,0,2021-07-11
2021,7,12,345.86,344.4198244511663,0,2021-07-12
2021,7,13,360.43,345.3799414837221,0,2021-07-13
2021,7,14,348.71,355.41331382790736,0,2021-07-14
2021,7,15,354.78,350.9444379426357,0,2021-07-15
2021,7,16,381.52,353.50147931421185,0,2021-07-16
2021,7,17,388.21,372.18049310473725,0,2021-07-17
2021,7,18,371.16,382.8668310349124,0,2021-07-18
2021,7,19,356.96,375.0622770116375,0,2021-07-19
2021,7,20,364.94,362.9940923372125,0,2021-07-20
2021,7,21,365.55,364.29136411240415,0,2021-07-21
2021,7,22,361.56,365.1304547041347,0,2021-07-22
2021,7,23,344.83,362.7501515680449,0,2021-07-23
2021,7,24,356.18,350.803383856015,0,2021-07-24
2021,7,25,350.34,354.3877946186717,0,2021-07-25
2021,7,26,351.26,351.68926487289053,0,2021-07-26
2021,7,27,373.0,351.4030882909635,0,2021-07-27
2021,7,28,368.37,365.8010294303212,0,2021-07-28
2021,7,29,355.46,367.51367647677375,0,2021-07-29
2021,7,30,348.76,359.47789215892453,0,2021-07-30
2021,7,31,333.72,352.3326307196415,0,2021-07-31
2021,8,1,315.44,339.9242102398805,0,2021-08-01
2021,8,2,328.56,323.6014034132935,0,2021-08-02
2021,8,3,338.48,326.90713447109783,0,2021-08-03
2021,8,4,346.15,334.62237815703264,0,2021-08-04
2021,8,5,347.2,342.30745938567753,0,2021-08-05
2021,8,6,355.6,345.5691531285592,0,2021-08-06
2021,8,7,363.84,352.2563843761864,0,2021-08-07
2021,8,8,373.42,359.97879479206216,0,2021-08-08
2021,8,9,367.8,368.93959826402073,0,2021-08-09
2021,8,10,367.49,368.1798660880069,0,2021-08-10
2021,8,11,368.27,367.719955362669,0,2021-08-11
2021,8,12,386.82,368.0866517875563,0,2021-08-12
2021,8,13,384.82,380.5755505958521,0,2021-08-13
2021,8,14,386.52,383.40518353195074,0,2021-08-14
2021,8,15,371.64,385.4817278439836,0,2021-08-15
2021,8,16,350.49,376.2539092813279,0,2021-08-16
2021,8,17,369.25,359.0779697604426,0,2021-08-17
2021,8,18,367.72,365.85932325348085,0,2021-08-18
2021,8,19,375.76,367.09977441782695,0,2021-08-19
2021,8,20,377.89,372.8732581392756,0,2021-08-20
2021,8,21,376.93,376.21775271309184,0,2021-08-21
2021,8,22,376.04,376.69258423769725,0,2021-08-22
2021,8,23,368.06,376.2575280792324,0,2021-08-23
2021,8,24,376.72,370.79250935974414,0,2021-08-24
2021,8,25,381.02,374.7441697865814,0,2021-08-25
2021,8,26,383.9,378.9280565955271,0,2021-08-26
2021,8,27,376.06,382.24268553184237,0,2021-08-27
2021,8,28,386.43,378.1208951772808,0,2021-08-28
2021,8,29,359.87,383.6602983924269,0,2021-08-29
2021,8,30,366.46,367.8000994641423,0,2021-08-30
2021,8,31,363.16,366.90669982138076,0,2021-08-31
2021,9,1,361.91,364.4088999404603,0,2021-09-01
2021,9,2,367.14,362.74296664682015,0,2021-09-02
2021,9,3,315.11,365.6743222156067,0,2021-09-03
2021,9,4,295.52,331.96477407186893,0,2021-09-04
2021,9,5,309.96,307.6682580239563,0,2021-09-05
2021,9,6,309.37,309.19608600798546,0,2021-09-06
2021,9,7,350.17,309.3120286693285,0,2021-09-07
2021,9,8,352.58,336.5506762231095,0,2021-09-08
2021,9,9,345.02,347.2368920743698,0,2021-09-09
2021,9,10,359.3,345.7589640247899,0,2021-09-10
2021,9,11,297.69,354.78632134159665,0,2021-09-11
2021,9,12,320.27,316.72210711386555,0,2021-09-12
2021,9,13,314.93,319.08736903795517,0,2021-09-13
2021,9,14,345.47,316.3157896793184,0,2021-09-14
2021,9,15,347.73,335.75192989310614,0,2021-09-15
2021,9,16,363.58,343.7373099643687,0,2021-09-16
2021,9,17,372.33,356.9657699881229,0,2021-09-17
2021,9,18,368.39,367.2085899960409,0,2021-09-18
2021,9,19,348.46,367.996196665347,0,2021-09-19
2021,9,20,351.77,354.97206555511565,0,2021-09-20
2021,9,21,347.19,352.8373551850386,0,2021-09-21
2021,9,22,341.71,349.07245172834615,0,2021-09-22
2021,9,23,348.94,344.1641505761154,0,2021-09-23
2021,9,24,353.83,347.3480501920385,0,2021-09-24
2021,9,25,349.05,351.6693500640128,0,2021-09-25
2021,9,26,329.73,349.92311668800426,0,2021-09-26
2021,9,27,310.14,336.4610388960014,0,2021-09-27
