year,month,day,carbon_intensity,prediction,hour,date
2021,7,2,539.61,476.9487377505968,0,2021-07-02
2021,7,3,500.86,518.7229125835323,0,2021-07-03
2021,7,4,498.5,506.8143041945107,0,2021-07-04
2021,7,5,421.0,501.2714347315036,0,2021-07-05
2021,7,6,427.76,447.7571449105012,0,2021-07-06
2021,7,7,441.27,434.42571497016706,0,2021-07-07
2021,7,8,538.2,438.98857165672234,0,2021-07-08
2021,7,9,545.52,505.12952388557414,0,2021-07-09
2021,7,10,567.38,532.0565079618581,0,2021-07-10
2021,7,11,580.44,555.6055026539526,0,2021-07-11
2021,7,12,578.13,572.1618342179842,0,2021-07-12
2021,7,13,555.07,576.1406114059947,0,2021-07-13
2021,7,14,508.26,562.0935371353316,0,2021-07-14
2021,7,15,390.18,526.2045123784438,0,2021-07-15
2021,7,16,492.62,435.52150412614793,0,2021-07-16
2021,7,17,485.72,473.5871680420493,0,2021-07-17
2021,7,18,525.94,481.6757226806831,0,2021-07-18
2021,7,19,585.1,511.18524089356106,0,2021-07-19
2021,7,20,538.92,560.4617469645203,0,2021-07-20
2021,7,21,576.81,546.1005823215067,0,2021-07-21
2021,7,22,574.57,566.5735274405023,0,2021-07-22
2021,7,23,576.37,571.9045091468341,0,2021-07-23
2021,7,24,489.85,574.8815030489446,0,2021-07-24
2021,7,25,513.46,518.1938343496482,0,2021-07-25
2021,7,26,574.21,515.0379447832161,0,2021-07-26
2021,7,27,523.64,554.4859815944054,0,2021-07-27
2021,7,28,438.36,533.9219938648017,0,2021-07-28
2021,7,29,327.76,470.213997954934,0,2021-07-29
2021,7,30,465.62,375.244665984978,0,2021-07-30
2021,7,31,339.81,435.49488866165933,0,2021-07-31
2021,8,1,474.77,371.7049628872198,0,2021-08-01
2021,8,2,480.46,440.41498762907327,0,2021-08-02
2021,8,3,585.96,467.11166254302435,0,2021-08-03
2021,8,4,602.5,546.3438875143414,0,2021-08-04
2021,8,5,607.17,583.7812958381138,0,2021-08-05
2021,8,6,363.62,599.3737652793712,0,2021-08-06
2021,8,7,346.84,442.2045884264571,0,2021-08-07
2021,8,8,320.46,378.6281961421523,0,2021-08-08
2021,8,9,339.81,339.8493987140508,0,2021-08-09
2021,8,10,435.54,339.82313290468363,0,2021-08-10
