year,month,day,carbon_intensity,hour,date,4_day_forecast
2021,7,2,441.67,0,2021-07-02,475.5027399227433
2021,7,3,407.62,0,2021-07-03,475.5027399227433
2021,7,4,392.27,0,2021-07-04,475.5027399227433
2021,7,5,417.63,0,2021-07-05,475.5027399227433
2021,7,3,407.62,0,2021-07-03,452.94757997424784
2021,7,4,392.27,0,2021-07-04,452.94757997424784
2021,7,5,417.63,0,2021-07-05,452.94757997424784
2021,7,6,441.33,0,2021-07-06,452.94757997424784
2021,7,4,392.27,0,2021-07-04,422.7291933247493
2021,7,5,417.63,0,2021-07-05,422.7291933247493
2021,7,6,441.33,0,2021-07-06,422.7291933247493
2021,7,7,463.38,0,2021-07-07,422.7291933247493
2021,7,5,417.63,0,2021-07-05,402.4230644415831
2021,7,6,441.33,0,2021-07-06,402.4230644415831
2021,7,7,463.38,0,2021-07-07,402.4230644415831
2021,7,8,461.2,0,2021-07-08,402.4230644415831
2021,7,6,441.33,0,2021-07-06,412.5610214805277
2021,7,7,463.38,0,2021-07-07,412.5610214805277
2021,7,8,461.2,0,2021-07-08,412.5610214805277
2021,7,9,443.55,0,2021-07-09,412.5610214805277
2021,7,7,463.38,0,2021-07-07,431.7403404935092
2021,7,8,461.2,0,2021-07-08,431.7403404935092
2021,7,9,443.55,0,2021-07-09,431.7403404935092
2021,7,10,438.45,0,2021-07-10,431.7403404935092
2021,7,8,461.2,0,2021-07-08,452.83344683116974
2021,7,9,443.55,0,2021-07-09,452.83344683116974
2021,7,10,438.45,0,2021-07-10,452.83344683116974
2021,7,11,411.17,0,2021-07-11,452.83344683116974
2021,7,9,443.55,0,2021-07-09,458.4111489437232
2021,7,10,438.45,0,2021-07-10,458.4111489437232
2021,7,11,411.17,0,2021-07-11,458.4111489437232
2021,7,12,420.58,0,2021-07-12,458.4111489437232
2021,7,10,438.45,0,2021-07-10,448.5037163145744
2021,7,11,411.17,0,2021-07-11,448.5037163145744
2021,7,12,420.58,0,2021-07-12,448.5037163145744
2021,7,13,444.11,0,2021-07-13,448.5037163145744
2021,7,11,411.17,0,2021-07-11,441.8012387715248
2021,7,12,420.58,0,2021-07-12,441.8012387715248
2021,7,13,444.11,0,2021-07-13,441.8012387715248
2021,7,14,446.59,0,2021-07-14,441.8012387715248
2021,7,12,420.58,0,2021-07-12,421.3804129238417
2021,7,13,444.11,0,2021-07-13,421.3804129238417
2021,7,14,446.59,0,2021-07-14,421.3804129238417
2021,7,15,444.45,0,2021-07-15,421.3804129238417
2021,7,13,444.11,0,2021-07-13,420.8468043079472
2021,7,14,446.59,0,2021-07-14,420.8468043079472
2021,7,15,444.45,0,2021-07-15,420.8468043079472
2021,7,16,453.31,0,2021-07-16,420.8468043079472
2021,7,14,446.59,0,2021-07-14,436.3556014359824
2021,7,15,444.45,0,2021-07-15,436.3556014359824
2021,7,16,453.31,0,2021-07-16,436.3556014359824
2021,7,17,449.36,0,2021-07-17,436.3556014359824
2021,7,15,444.45,0,2021-07-15,443.1785338119941
2021,7,16,453.31,0,2021-07-16,443.1785338119941
2021,7,17,449.36,0,2021-07-17,443.1785338119941
2021,7,18,439.94,0,2021-07-18,443.1785338119941
2021,7,16,453.31,0,2021-07-16,444.02617793733134
2021,7,17,449.36,0,2021-07-17,444.02617793733134
2021,7,18,439.94,0,2021-07-18,444.02617793733134
2021,7,19,426.41,0,2021-07-19,444.02617793733134
2021,7,17,449.36,0,2021-07-17,450.21539264577706
2021,7,18,439.94,0,2021-07-18,450.21539264577706
2021,7,19,426.41,0,2021-07-19,450.21539264577706
2021,7,20,439.99,0,2021-07-20,450.21539264577706
2021,7,18,439.94,0,2021-07-18,449.6451308819257
2021,7,19,426.41,0,2021-07-19,449.6451308819257
2021,7,20,439.99,0,2021-07-20,449.6451308819257
2021,7,21,446.34,0,2021-07-21,449.6451308819257
2021,7,19,426.41,0,2021-07-19,443.1750436273085
2021,7,20,439.99,0,2021-07-20,443.1750436273085
2021,7,21,446.34,0,2021-07-21,443.1750436273085
2021,7,22,447.02,0,2021-07-22,443.1750436273085
2021,7,20,439.99,0,2021-07-20,431.9983478757695
2021,7,21,446.34,0,2021-07-21,431.9983478757695
2021,7,22,447.02,0,2021-07-22,431.9983478757695
2021,7,23,442.5,0,2021-07-23,431.9983478757695
2021,7,21,446.34,0,2021-07-21,437.3261159585898
2021,7,22,447.02,0,2021-07-22,437.3261159585898
2021,7,23,442.5,0,2021-07-23,437.3261159585898
2021,7,24,442.3,0,2021-07-24,437.3261159585898
2021,7,22,447.02,0,2021-07-22,443.3353719861966
2021,7,23,442.5,0,2021-07-23,443.3353719861966
2021,7,24,442.3,0,2021-07-24,443.3353719861966
2021,7,25,432.38,0,2021-07-25,443.3353719861966
2021,7,23,442.5,0,2021-07-23,445.7917906620655
2021,7,24,442.3,0,2021-07-24,445.7917906620655
2021,7,25,432.38,0,2021-07-25,445.7917906620655
2021,7,26,455.67,0,2021-07-26,445.7917906620655
2021,7,24,442.3,0,2021-07-24,443.5972635540218
2021,7,25,432.38,0,2021-07-25,443.5972635540218
2021,7,26,455.67,0,2021-07-26,443.5972635540218
2021,7,27,469.22,0,2021-07-27,443.5972635540218
2021,7,25,432.38,0,2021-07-25,442.732421184674
2021,7,26,455.67,0,2021-07-26,442.732421184674
2021,7,27,469.22,0,2021-07-27,442.732421184674
2021,7,28,470.82,0,2021-07-28,442.732421184674
2021,7,26,455.67,0,2021-07-26,435.830807061558
2021,7,27,469.22,0,2021-07-27,435.830807061558
2021,7,28,470.82,0,2021-07-28,435.830807061558
2021,7,29,468.47,0,2021-07-29,435.830807061558
2021,7,27,469.22,0,2021-07-27,449.056935687186
2021,7,28,470.82,0,2021-07-28,449.056935687186
2021,7,29,468.47,0,2021-07-29,449.056935687186
2021,7,30,448.69,0,2021-07-30,449.056935687186
2021,7,28,470.82,0,2021-07-28,462.4989785623954
2021,7,29,468.47,0,2021-07-29,462.4989785623954
2021,7,30,448.69,0,2021-07-30,462.4989785623954
2021,7,31,434.77,0,2021-07-31,462.4989785623954
2021,7,29,468.47,0,2021-07-29,468.0463261874651
2021,7,30,448.69,0,2021-07-30,468.0463261874651
2021,7,31,434.77,0,2021-07-31,468.0463261874651
2021,8,1,416.02,0,2021-08-01,468.0463261874651
2021,7,30,448.69,0,2021-07-30,468.32877539582176
2021,7,31,434.77,0,2021-07-31,468.32877539582176
2021,8,1,416.02,0,2021-08-01,468.32877539582176
2021,8,2,396.18,0,2021-08-02,468.32877539582176
2021,7,31,434.77,0,2021-07-31,455.2362584652739
2021,8,1,416.02,0,2021-08-01,455.2362584652739
2021,8,2,396.18,0,2021-08-02,455.2362584652739
2021,8,3,413.31,0,2021-08-03,455.2362584652739
2021,8,1,416.02,0,2021-08-01,441.5920861550913
2021,8,2,396.18,0,2021-08-02,441.5920861550913
2021,8,3,413.31,0,2021-08-03,441.5920861550913
2021,8,4,414.21,0,2021-08-04,441.5920861550913
2021,8,2,396.18,0,2021-08-02,424.5440287183637
2021,8,3,413.31,0,2021-08-03,424.5440287183637
2021,8,4,414.21,0,2021-08-04,424.5440287183637
2021,8,5,416.29,0,2021-08-05,424.5440287183637
2021,8,3,413.31,0,2021-08-03,405.6346762394546
2021,8,4,414.21,0,2021-08-04,405.6346762394546
2021,8,5,416.29,0,2021-08-05,405.6346762394546
2021,8,6,419.71,0,2021-08-06,405.6346762394546
2021,8,4,414.21,0,2021-08-04,410.7515587464848
2021,8,5,416.29,0,2021-08-05,410.7515587464848
2021,8,6,419.71,0,2021-08-06,410.7515587464848
2021,8,7,426.95,0,2021-08-07,410.7515587464848
2021,8,5,416.29,0,2021-08-05,413.05718624882826
2021,8,6,419.71,0,2021-08-06,413.05718624882826
2021,8,7,426.95,0,2021-08-07,413.05718624882826
2021,8,8,425.97,0,2021-08-08,413.05718624882826
2021,8,6,419.71,0,2021-08-06,415.21239541627614
2021,8,7,426.95,0,2021-08-07,415.21239541627614
2021,8,8,425.97,0,2021-08-08,415.21239541627614
2021,8,9,436.71,0,2021-08-09,415.21239541627614
2021,8,7,426.95,0,2021-08-07,418.210798472092
2021,8,8,425.97,0,2021-08-08,418.210798472092
2021,8,9,436.71,0,2021-08-09,418.210798472092
2021,8,10,457.21,0,2021-08-10,418.210798472092
2021,8,8,425.97,0,2021-08-08,424.03693282403066
2021,8,9,436.71,0,2021-08-09,424.03693282403066
2021,8,10,457.21,0,2021-08-10,424.03693282403066
2021,8,11,461.69,0,2021-08-11,424.03693282403066
2021,8,9,436.71,0,2021-08-09,425.3256442746769
2021,8,10,457.21,0,2021-08-10,425.3256442746769
2021,8,11,461.69,0,2021-08-11,425.3256442746769
2021,8,12,460.19,0,2021-08-12,425.3256442746769
2021,8,10,457.21,0,2021-08-10,432.9152147582256
2021,8,11,461.69,0,2021-08-11,432.9152147582256
2021,8,12,460.19,0,2021-08-12,432.9152147582256
2021,8,13,468.33,0,2021-08-13,432.9152147582256
2021,8,11,461.69,0,2021-08-11,449.1117382527418
2021,8,12,460.19,0,2021-08-12,449.1117382527418
2021,8,13,468.33,0,2021-08-13,449.1117382527418
2021,8,14,464.3,0,2021-08-14,449.1117382527418
2021,8,12,460.19,0,2021-08-12,457.4972460842473
