year,month,day,Carbon intensity gCO₂eq/kWh (Life cycle),hour,date,4_day_forecast
2023,10,21,37.94,0,2023-10-21,33.066124956150624
2023,10,22,32.91,0,2023-10-22,33.066124956150624
2023,10,23,49.28,0,2023-10-23,33.066124956150624
2023,10,24,49.13,0,2023-10-24,33.066124956150624
2023,10,22,32.91,0,2023-10-22,36.315374985383535
2023,10,23,49.28,0,2023-10-23,36.315374985383535
2023,10,24,49.13,0,2023-10-24,36.315374985383535
2023,10,25,36.7,0,2023-10-25,36.315374985383535
2023,10,23,49.28,0,2023-10-23,34.04512499512784
2023,10,24,49.13,0,2023-10-24,34.04512499512784
2023,10,25,36.7,0,2023-10-25,34.04512499512784
2023,10,26,48.02,0,2023-10-26,34.04512499512784
2023,10,24,49.13,0,2023-10-24,44.20170833170928
2023,10,25,36.7,0,2023-10-25,44.20170833170928
2023,10,26,48.02,0,2023-10-26,44.20170833170928
2023,10,27,38.89,0,2023-10-27,44.20170833170928
2023,10,25,36.7,0,2023-10-25,47.48723611056977
2023,10,26,48.02,0,2023-10-26,47.48723611056977
2023,10,27,38.89,0,2023-10-27,47.48723611056977
2023,10,28,36.86,0,2023-10-28,47.48723611056977
2023,10,26,48.02,0,2023-10-26,40.29574537018993
2023,10,27,38.89,0,2023-10-27,40.29574537018993
2023,10,28,36.86,0,2023-10-28,40.29574537018993
2023,10,29,48.35,0,2023-10-29,40.29574537018993
2023,10,27,38.89,0,2023-10-27,45.44524845672998
2023,10,28,36.86,0,2023-10-28,45.44524845672998
2023,10,29,48.35,0,2023-10-29,45.44524845672998
2023,10,30,44.6,0,2023-10-30,45.44524845672998
2023,10,28,36.86,0,2023-10-28,41.07508281891
2023,10,29,48.35,0,2023-10-29,41.07508281891
2023,10,30,44.6,0,2023-10-30,41.07508281891
2023,10,31,29.28,0,2023-10-31,41.07508281891
2023,10,29,48.35,0,2023-10-29,38.265027606303335
2023,10,30,44.6,0,2023-10-30,38.265027606303335
2023,10,31,29.28,0,2023-10-31,38.265027606303335
2023,11,1,35.12,0,2023-11-01,38.265027606303335
2023,10,30,44.6,0,2023-10-30,44.98834253543445
2023,10,31,29.28,0,2023-10-31,44.98834253543445
2023,11,1,35.12,0,2023-11-01,44.98834253543445
2023,11,2,34.35,0,2023-11-02,44.98834253543445
2023,10,31,29.28,0,2023-10-31,44.729447511811486
2023,11,1,35.12,0,2023-11-01,44.729447511811486
2023,11,2,34.35,0,2023-11-02,44.729447511811486
2023,11,3,35.25,0,2023-11-03,44.729447511811486
2023,11,1,35.12,0,2023-11-01,34.429815837270496
2023,11,2,34.35,0,2023-11-02,34.429815837270496
2023,11,3,35.25,0,2023-11-03,34.429815837270496
2023,11,4,37.06,0,2023-11-04,34.429815837270496
2023,11,2,34.35,0,2023-11-02,34.8899386124235
2023,11,3,35.25,0,2023-11-03,34.8899386124235
2023,11,4,37.06,0,2023-11-04,34.8899386124235
2023,11,5,72.59,0,2023-11-05,34.8899386124235
2023,11,3,35.25,0,2023-11-03,34.5299795374745
2023,11,4,37.06,0,2023-11-04,34.5299795374745
2023,11,5,72.59,0,2023-11-05,34.5299795374745
2023,11,6,44.9,0,2023-11-06,34.5299795374745
2023,11,4,37.06,0,2023-11-04,35.009993179158165
2023,11,5,72.59,0,2023-11-05,35.009993179158165
2023,11,6,44.9,0,2023-11-06,35.009993179158165
2023,11,7,36.85,0,2023-11-07,35.009993179158165
2023,11,5,72.59,0,2023-11-05,36.37666439305272
2023,11,6,44.9,0,2023-11-06,36.37666439305272
2023,11,7,36.85,0,2023-11-07,36.37666439305272
2023,11,8,44.2,0,2023-11-08,36.37666439305272
2023,11,6,44.9,0,2023-11-06,60.518888131017576
2023,11,7,36.85,0,2023-11-07,60.518888131017576
2023,11,8,44.2,0,2023-11-08,60.518888131017576
2023,11,9,38.6,0,2023-11-09,60.518888131017576
2023,11,7,36.85,0,2023-11-07,50.10629604367252
2023,11,8,44.2,0,2023-11-08,50.10629604367252
2023,11,9,38.6,0,2023-11-09,50.10629604367252
2023,11,10,38.74,0,2023-11-10,50.10629604367252
2023,11,8,44.2,0,2023-11-08,41.26876534789084
2023,11,9,38.6,0,2023-11-09,41.26876534789084
2023,11,10,38.74,0,2023-11-10,41.26876534789084
2023,11,11,29.35,0,2023-11-11,41.26876534789084
2023,11,9,38.6,0,2023-11-09,43.22292178263029
2023,11,10,38.74,0,2023-11-10,43.22292178263029
2023,11,11,29.35,0,2023-11-11,43.22292178263029
2023,11,12,36.41,0,2023-11-12,43.22292178263029
2023,11,10,38.74,0,2023-11-10,40.14097392754343
2023,11,11,29.35,0,2023-11-11,40.14097392754343
2023,11,12,36.41,0,2023-11-12,40.14097392754343
2023,11,13,31.54,0,2023-11-13,40.14097392754343
2023,11,11,29.35,0,2023-11-11,39.20699130918114
2023,11,12,36.41,0,2023-11-12,39.20699130918114
2023,11,13,31.54,0,2023-11-13,39.20699130918114
2023,11,14,36.66,0,2023-11-14,39.20699130918114
2023,11,12,36.41,0,2023-11-12,32.635663769727046
2023,11,13,31.54,0,2023-11-13,32.635663769727046
2023,11,14,36.66,0,2023-11-14,32.635663769727046
2023,11,15,34.07,0,2023-11-15,32.635663769727046
2023,11,13,31.54,0,2023-11-13,35.15188792324235
2023,11,14,36.66,0,2023-11-14,35.15188792324235
2023,11,15,34.07,0,2023-11-15,35.15188792324235
2023,11,16,128.6,0,2023-11-16,35.15188792324235
2023,11,14,36.66,0,2023-11-14,32.74396264108078
2023,11,15,34.07,0,2023-11-15,32.74396264108078
2023,11,16,128.6,0,2023-11-16,32.74396264108078
2023,11,17,149.55,0,2023-11-17,32.74396264108078
2023,11,15,34.07,0,2023-11-15,35.354654213693586
2023,11,16,128.6,0,2023-11-16,35.354654213693586
2023,11,17,149.55,0,2023-11-17,35.354654213693586
2023,11,18,31.63,0,2023-11-18,35.354654213693586
2023,11,16,128.6,0,2023-11-16,34.4982180712312
2023,11,17,149.55,0,2023-11-17,34.4982180712312
2023,11,18,31.63,0,2023-11-18,34.4982180712312
2023,11,19,41.21,0,2023-11-19,34.4982180712312
2023,11,17,149.55,0,2023-11-17,97.23273935707704
2023,11,18,31.63,0,2023-11-18,97.23273935707704
2023,11,19,41.21,0,2023-11-19,97.23273935707704
2023,11,20,123.96,0,2023-11-20,97.23273935707704
2023,11,18,31.63,0,2023-11-18,132.1109131190257
2023,11,19,41.21,0,2023-11-19,132.1109131190257
2023,11,20,123.96,0,2023-11-20,132.1109131190257
2023,11,21,37.91,0,2023-11-21,132.1109131190257
2023,11,19,41.21,0,2023-11-19,65.1236377063419
2023,11,20,123.96,0,2023-11-20,65.1236377063419
2023,11,21,37.91,0,2023-11-21,65.1236377063419
2023,11,22,37.29,0,2023-11-22,65.1236377063419
2023,11,20,123.96,0,2023-11-20,49.18121256878063
2023,11,21,37.91,0,2023-11-21,49.18121256878063
2023,11,22,37.29,0,2023-11-22,49.18121256878063
2023,11,23,88.24,0,2023-11-23,49.18121256878063
2023,11,21,37.91,0,2023-11-21,99.03373752292688
2023,11,22,37.29,0,2023-11-22,99.03373752292688
2023,11,23,88.24,0,2023-11-23,99.03373752292688
2023,11,24,185.84,0,2023-11-24,99.03373752292688
2023,11,22,37.29,0,2023-11-22,58.28457917430895
2023,11,23,88.24,0,2023-11-23,58.28457917430895
2023,11,24,185.84,0,2023-11-24,58.28457917430895
2023,11,25,34.75,0,2023-11-25,58.28457917430895
2023,11,23,88.24,0,2023-11-23,44.28819305810298
2023,11,24,185.84,0,2023-11-24,44.28819305810298
2023,11,25,34.75,0,2023-11-25,44.28819305810298
2023,11,26,35.25,0,2023-11-26,44.28819305810298
2023,11,24,185.84,0,2023-11-24,73.58939768603433
2023,11,25,34.75,0,2023-11-25,73.58939768603433
2023,11,26,35.25,0,2023-11-26,73.58939768603433
2023,11,27,29.47,0,2023-11-27,73.58939768603433
2023,11,25,34.75,0,2023-11-25,148.42313256201143
2023,11,26,35.25,0,2023-11-26,148.42313256201143
2023,11,27,29.47,0,2023-11-27,148.42313256201143
2023,11,28,44.76,0,2023-11-28,148.42313256201143
2023,11,26,35.25,0,2023-11-26,72.64104418733714
2023,11,27,29.47,0,2023-11-27,72.64104418733714
2023,11,28,44.76,0,2023-11-28,72.64104418733714
2023,11,29,41.68,0,2023-11-29,72.64104418733714
2023,11,27,29.47,0,2023-11-27,47.71368139577905
2023,11,28,44.76,0,2023-11-28,47.71368139577905
2023,11,29,41.68,0,2023-11-29,47.71368139577905
2023,11,30,54.41,0,2023-11-30,47.71368139577905
2023,11,28,44.76,0,2023-11-28,35.551227131926346
2023,11,29,41.68,0,2023-11-29,35.551227131926346
2023,11,30,54.41,0,2023-11-30,35.551227131926346
2023,12,1,47.59,0,2023-12-01,35.551227131926346
2023,11,29,41.68,0,2023-11-29,41.69040904397545
2023,11,30,54.41,0,2023-11-30,41.69040904397545
2023,12,1,47.59,0,2023-12-01,41.69040904397545
2023,12,2,28.46,0,2023-12-02,41.69040904397545
2023,11,30,54.41,0,2023-11-30,41.68346968132515
2023,12,1,47.59,0,2023-12-01,41.68346968132515
2023,12,2,28.46,0,2023-12-02,41.68346968132515
2023,12,3,46.18,0,2023-12-03,41.68346968132515
2023,12,1,47.59,0,2023-12-01,50.16782322710839
2023,12,2,28.46,0,2023-12-02,50.16782322710839
2023,12,3,46.18,0,2023-12-03,50.16782322710839
2023,12,4,37.03,0,2023-12-04,50.16782322710839
2023,12,2,28.46,0,2023-12-02,48.44927440903613
2023,12,3,46.18,0,2023-12-03,48.44927440903613
2023,12,4,37.03,0,2023-12-04,48.44927440903613
2023,12,5,43.88,0,2023-12-05,48.44927440903613
2023,12,3,46.18,0,2023-12-03,35.12309146967871
2023,12,4,37.03,0,2023-12-04,35.12309146967871
2023,12,5,43.88,0,2023-12-05,35.12309146967871
2023,12,6,50.07,0,2023-12-06,35.12309146967871
2023,12,4,37.03,0,2023-12-04,42.49436382322624
2023,12,5,43.88,0,2023-12-05,42.49436382322624
2023,12,6,50.07,0,2023-12-06,42.49436382322624
2023,12,7,62.5,0,2023-12-07,42.49436382322624
2023,12,5,43.88,0,2023-12-05,38.85145460774208
2023,12,6,50.07,0,2023-12-06,38.85145460774208
2023,12,7,62.5,0,2023-12-07,38.85145460774208
2023,12,8,38.79,0,2023-12-08,38.85145460774208
2023,12,6,50.07,0,2023-12-06,42.20381820258069
2023,12,7,62.5,0,2023-12-07,42.20381820258069
2023,12,8,38.79,0,2023-12-08,42.20381820258069
2023,12,9,37.26,0,2023-12-09,42.20381820258069
2023,12,7,62.5,0,2023-12-07,47.44793940086023
2023,12,8,38.79,0,2023-12-08,47.44793940086023
2023,12,9,37.26,0,2023-12-09,47.44793940086023
2023,12,10,39.25,0,2023-12-10,47.44793940086023
2023,12,8,38.79,0,2023-12-08,57.48264646695341
