date,carbon_intensity,carbon_intensity
2021-01-01 00:00:00,392.93,392.93
2021-01-01 01:00:00,390.78,390.78
2021-01-01 02:00:00,394.21,394.21
2021-01-01 03:00:00,390.04,390.04
2021-01-01 04:00:00,381.98,381.98
2021-01-01 05:00:00,379.07,379.07
2021-01-01 06:00:00,378.32,378.32
2021-01-01 07:00:00,368.96,368.96
2021-01-01 08:00:00,361.56,361.56
2021-01-01 09:00:00,368.85,368.85
2021-01-01 10:00:00,367.52,367.52
2021-01-01 11:00:00,371.6,371.6
2021-01-01 12:00:00,376.2,376.2
2021-01-01 13:00:00,387.99,387.99
2021-01-01 14:00:00,398.56,398.56
2021-01-01 15:00:00,392.69,392.69
2021-01-01 16:00:00,392.61,392.61
2021-01-01 17:00:00,390.98,390.98
2021-01-01 18:00:00,382.69,382.69
2021-01-01 19:00:00,379.28,379.28
2021-01-01 20:00:00,385.64,385.64
2021-01-01 21:00:00,372.1,372.1
2021-01-01 22:00:00,377.03,377.03
2021-01-01 23:00:00,400.78,400.78
2021-01-02 00:00:00,398.37,398.37
2021-01-02 01:00:00,395.52,395.52
2021-01-02 02:00:00,388.85,388.85
2021-01-02 03:00:00,389.17,389.17
2021-01-02 04:00:00,391.81,391.81
2021-01-02 05:00:00,382.33,382.33
2021-01-02 06:00:00,396.22,396.22
2021-01-02 07:00:00,388.67,388.67
2021-01-02 08:00:00,386.94,386.94
2021-01-02 09:00:00,377.3,377.3
2021-01-02 10:00:00,353.26,353.26
2021-01-02 11:00:00,403.69,403.69
2021-01-02 12:00:00,369.08,369.08
2021-01-02 13:00:00,380.45,380.45
2021-01-02 14:00:00,371.99,371.99
2021-01-02 15:00:00,387.8,387.8
2021-01-02 16:00:00,380.32,380.32
2021-01-02 17:00:00,367.17,367.17
2021-01-02 18:00:00,370.72,370.72
2021-01-02 19:00:00,383.06,383.06
2021-01-02 20:00:00,373.57,373.57
2021-01-02 21:00:00,378.32,378.32
2021-01-02 22:00:00,347.06,347.06
2021-01-02 23:00:00,369.42,369.42
2021-01-03 00:00:00,385.22,385.22
2021-01-03 01:00:00,392.13,392.13
2021-01-03 02:00:00,390.56,390.56
2021-01-03 03:00:00,390.44,390.44
2021-01-03 04:00:00,369.94,369.94
2021-01-03 05:00:00,376.16,376.16
2021-01-03 06:00:00,391.65,391.65
2021-01-03 07:00:00,393.38,393.38
2021-01-03 08:00:00,391.41,391.41
2021-01-03 09:00:00,381.0,381.0
2021-01-03 10:00:00,375.99,375.99
2021-01-03 11:00:00,381.69,381.69
2021-01-03 12:00:00,387.54,387.54
2021-01-03 13:00:00,390.0,390.0
2021-01-03 14:00:00,391.41,391.41
2021-01-03 15:00:00,403.82,403.82
2021-01-03 16:00:00,397.27,397.27
2021-01-03 17:00:00,375.93,375.93
2021-01-03 18:00:00,375.0,375.0
2021-01-03 19:00:00,375.96,375.96
2021-01-03 20:00:00,365.6,365.6
2021-01-03 21:00:00,405.23,405.23
2021-01-03 22:00:00,388.98,388.98
2021-01-03 23:00:00,392.73,392.73
2021-01-04 00:00:00,387.64,387.64
2021-01-04 01:00:00,384.74,384.74
2021-01-04 02:00:00,388.8,388.8
2021-01-04 03:00:00,388.38,388.38
2021-01-04 04:00:00,388.59,388.59
2021-01-04 05:00:00,426.34,426.34
2021-01-04 06:00:00,399.11,399.11
2021-01-04 07:00:00,393.42,393.42
2021-01-04 08:00:00,403.28,403.28
2021-01-04 09:00:00,378.64,378.64
2021-01-04 10:00:00,381.96,381.96
2021-01-04 11:00:00,374.98,374.98
2021-01-04 12:00:00,369.27,369.27
2021-01-04 13:00:00,372.83,372.83
