date,carbon_intensity,carbon_intensity
2021-01-01 00:00:00,299.15,299.15
2021-01-01 01:00:00,271.19,271.19
2021-01-01 02:00:00,225.93,225.93
2021-01-01 03:00:00,187.49,187.49
2021-01-01 04:00:00,79.73,79.73
2021-01-01 05:00:00,39.67,39.67
2021-01-01 06:00:00,32.57,32.57
2021-01-01 07:00:00,31.43,31.43
2021-01-01 08:00:00,35.26,35.26
2021-01-01 09:00:00,44.38,44.38
2021-01-01 10:00:00,47.16,47.16
2021-01-01 11:00:00,45.4,45.4
2021-01-01 12:00:00,41.65,41.65
2021-01-01 13:00:00,39.2,39.2
2021-01-01 14:00:00,39.44,39.44
2021-01-01 15:00:00,42.05,42.05
2021-01-01 16:00:00,45.55,45.55
2021-01-01 17:00:00,72.28,72.28
2021-01-01 18:00:00,99.38,99.38
2021-01-01 19:00:00,131.59,131.59
2021-01-01 20:00:00,172.5,172.5
2021-01-01 21:00:00,182.4,182.4
2021-01-01 22:00:00,179.15,179.15
2021-01-01 23:00:00,176.65,176.65
2021-01-02 00:00:00,167.09,167.09
2021-01-02 01:00:00,146.07,146.07
2021-01-02 02:00:00,160.3,160.3
2021-01-02 03:00:00,165.18,165.18
2021-01-02 04:00:00,153.84,153.84
2021-01-02 05:00:00,166.04,166.04
2021-01-02 06:00:00,184.95,184.95
2021-01-02 07:00:00,154.04,154.04
2021-01-02 08:00:00,135.79,135.79
2021-01-02 09:00:00,124.41,124.41
2021-01-02 10:00:00,142.86,142.86
2021-01-02 11:00:00,199.99,199.99
2021-01-02 12:00:00,227.87,227.87
2021-01-02 13:00:00,238.56,238.56
2021-01-02 14:00:00,261.41,261.41
2021-01-02 15:00:00,265.08,265.08
2021-01-02 16:00:00,252.65,252.65
2021-01-02 17:00:00,238.6,238.6
2021-01-02 18:00:00,199.05,199.05
2021-01-02 19:00:00,176.55,176.55
2021-01-02 20:00:00,171.7,171.7
2021-01-02 21:00:00,147.04,147.04
2021-01-02 22:00:00,131.54,131.54
2021-01-02 23:00:00,117.21,117.21
2021-01-03 00:00:00,95.04,95.04
2021-01-03 01:00:00,43.26,43.26
2021-01-03 02:00:00,30.52,30.52
2021-01-03 03:00:00,31.78,31.78
2021-01-03 04:00:00,32.99,32.99
2021-01-03 05:00:00,32.07,32.07
2021-01-03 06:00:00,32.43,32.43
2021-01-03 07:00:00,34.52,34.52
2021-01-03 08:00:00,41.82,41.82
2021-01-03 09:00:00,45.46,45.46
2021-01-03 10:00:00,50.12,50.12
2021-01-03 11:00:00,60.52,60.52
2021-01-03 12:00:00,48.83,48.83
2021-01-03 13:00:00,49.09,49.09
2021-01-03 14:00:00,61.85,61.85
2021-01-03 15:00:00,93.58,93.58
2021-01-03 16:00:00,101.22,101.22
2021-01-03 17:00:00,76.72,76.72
2021-01-03 18:00:00,55.58,55.58
2021-01-03 19:00:00,52.91,52.91
2021-01-03 20:00:00,61.78,61.78
2021-01-03 21:00:00,45.89,45.89
2021-01-03 22:00:00,47.8,47.8
2021-01-03 23:00:00,38.72,38.72
2021-01-04 00:00:00,31.99,31.99
2021-01-04 01:00:00,31.41,31.41
2021-01-04 02:00:00,42.81,42.81
2021-01-04 03:00:00,53.03,53.03
2021-01-04 04:00:00,72.05,72.05
2021-01-04 05:00:00,86.33,86.33
2021-01-04 06:00:00,70.15,70.15
2021-01-04 07:00:00,72.59,72.59
2021-01-04 08:00:00,78.37,78.37
2021-01-04 09:00:00,81.7,81.7
2021-01-04 10:00:00,127.11,127.11
2021-01-04 11:00:00,202.14,202.14
2021-01-04 12:00:00,238.23,238.23
2021-01-04 13:00:00,320.79,320.79
2021-01-04 14:00:00,334.68,334.68
2021-01-04 15:00:00,319.52,319.52
2021-01-04 16:00:00,311.38,311.38
2021-01-04 17:00:00,306.71,306.71
2021-01-04 18:00:00,298.53,298.53
2021-01-04 19:00:00,300.04,300.04
2021-01-04 20:00:00,307.13,307.13
2021-01-04 21:00:00,317.99,317.99
2021-01-04 22:00:00,329.88,329.88
2021-01-04 23:00:00,333.43,333.43
2021-01-05 00:00:00,313.27,313.27
2021-01-05 01:00:00,312.12,312.12
2021-01-05 02:00:00,306.26,306.26
2021-01-05 03:00:00,283.24,283.24
2021-01-05 04:00:00,251.3,251.3
2021-01-05 05:00:00,248.86,248.86
2021-01-05 06:00:00,232.12,232.12
2021-01-05 07:00:00,223.75,223.75
2021-01-05 08:00:00,218.77,218.77
2021-01-05 09:00:00,219.6,219.6
2021-01-05 10:00:00,279.67,279.67
2021-01-05 11:00:00,343.88,343.88
2021-01-05 12:00:00,338.0,338.0
2021-01-05 13:00:00,321.82,321.82
2021-01-05 14:00:00,317.88,317.88
2021-01-05 15:00:00,302.59,302.59
2021-01-05 16:00:00,291.89,291.89
2021-01-05 17:00:00,291.55,291.55
2021-01-05 18:00:00,290.93,290.93
2021-01-05 19:00:00,293.37,293.37
2021-01-05 20:00:00,283.41,283.41
2021-01-05 21:00:00,284.19,284.19
2021-01-05 22:00:00,317.77,317.77
2021-01-05 23:00:00,323.02,323.02
2021-01-06 00:00:00,311.75,311.75
2021-01-06 01:00:00,315.07,315.07
2021-01-06 02:00:00,324.12,324.12
2021-01-06 03:00:00,332.91,332.91
2021-01-06 04:00:00,335.76,335.76
2021-01-06 05:00:00,349.66,349.66
2021-01-06 06:00:00,365.44,365.44
2021-01-06 07:00:00,373.59,373.59
2021-01-06 08:00:00,377.8,377.8
2021-01-06 09:00:00,383.72,383.72
2021-01-06 10:00:00,397.58,397.58
2021-01-06 11:00:00,395.47,395.47
2021-01-06 12:00:00,374.64,374.64
2021-01-06 13:00:00,357.02,357.02
2021-01-06 14:00:00,343.78,343.78
2021-01-06 15:00:00,330.82,330.82
2021-01-06 16:00:00,320.65,320.65
2021-01-06 17:00:00,314.76,314.76
2021-01-06 18:00:00,312.5,312.5
2021-01-06 19:00:00,287.17,287.17
2021-01-06 20:00:00,260.49,260.49
2021-01-06 21:00:00,268.64,268.64
2021-01-06 22:00:00,283.62,283.62
2021-01-06 23:00:00,322.86,322.86
2021-01-07 00:00:00,318.6,318.6
2021-01-07 01:00:00,311.37,311.37
2021-01-07 02:00:00,320.23,320.23
2021-01-07 03:00:00,345.15,345.15
2021-01-07 04:00:00,369.08,369.08
2021-01-07 05:00:00,385.77,385.77
2021-01-07 06:00:00,377.16,377.16
2021-01-07 07:00:00,355.81,355.81
2021-01-07 08:00:00,335.76,335.76
2021-01-07 09:00:00,311.48,311.48
2021-01-07 10:00:00,296.96,296.96
2021-01-07 11:00:00,301.17,301.17
2021-01-07 12:00:00,262.64,262.64
2021-01-07 13:00:00,213.38,213.38
2021-01-07 14:00:00,174.88,174.88
2021-01-07 15:00:00,165.38,165.38
2021-01-07 16:00:00,170.23,170.23
2021-01-07 17:00:00,170.41,170.41
2021-01-07 18:00:00,171.17,171.17
2021-01-07 19:00:00,185.25,185.25
2021-01-07 20:00:00,195.78,195.78
2021-01-07 21:00:00,259.53,259.53
2021-01-07 22:00:00,320.75,320.75
2021-01-07 23:00:00,321.69,321.69
2021-01-08 00:00:00,305.18,305.18
2021-01-08 01:00:00,307.24,307.24
2021-01-08 02:00:00,317.46,317.46
2021-01-08 03:00:00,334.8,334.8
2021-01-08 04:00:00,331.0,331.0
2021-01-08 05:00:00,267.73,267.73
2021-01-08 06:00:00,225.19,225.19
2021-01-08 07:00:00,215.63,215.63
2021-01-08 08:00:00,237.58,237.58
2021-01-08 09:00:00,273.92,273.92
2021-01-08 10:00:00,288.69,288.69
2021-01-08 11:00:00,334.72,334.72
2021-01-08 12:00:00,347.92,347.92
2021-01-08 13:00:00,339.01,339.01
2021-01-08 14:00:00,326.92,326.92
2021-01-08 15:00:00,314.92,314.92
2021-01-08 16:00:00,308.54,308.54
2021-01-08 17:00:00,305.48,305.48
2021-01-08 18:00:00,305.79,305.79
2021-01-08 19:00:00,308.13,308.13
2021-01-08 20:00:00,313.76,313.76
2021-01-08 21:00:00,325.35,325.35
2021-01-08 22:00:00,336.22,336.22
2021-01-08 23:00:00,319.48,319.48
2021-01-09 00:00:00,311.33,311.33
2021-01-09 01:00:00,313.77,313.77
2021-01-09 02:00:00,313.62,313.62
2021-01-09 03:00:00,307.22,307.22
2021-01-09 04:00:00,185.51,185.51
2021-01-09 05:00:00,146.23,146.23
2021-01-09 06:00:00,136.98,136.98
2021-01-09 07:00:00,196.92,196.92
2021-01-09 08:00:00,216.15,216.15
2021-01-09 09:00:00,239.12,239.12
2021-01-09 10:00:00,248.9,248.9
2021-01-09 11:00:00,282.75,282.75
2021-01-09 12:00:00,325.23,325.23
2021-01-09 13:00:00,365.81,365.81
2021-01-09 14:00:00,382.75,382.75
2021-01-09 15:00:00,379.92,379.92
2021-01-09 16:00:00,368.11,368.11
2021-01-09 17:00:00,366.7,366.7
2021-01-09 18:00:00,366.24,366.24
2021-01-09 19:00:00,346.97,346.97
2021-01-09 20:00:00,305.95,305.95
2021-01-09 21:00:00,300.57,300.57
2021-01-09 22:00:00,305.89,305.89
2021-01-09 23:00:00,318.86,318.86
2021-01-10 00:00:00,274.74,274.74
2021-01-10 01:00:00,166.73,166.73
2021-01-10 02:00:00,89.12,89.12
2021-01-10 03:00:00,72.58,72.58
2021-01-10 04:00:00,77.11,77.11
2021-01-10 05:00:00,74.38,74.38
2021-01-10 06:00:00,45.93,45.93
2021-01-10 07:00:00,37.33,37.33
2021-01-10 08:00:00,42.32,42.32
2021-01-10 09:00:00,40.43,40.43
2021-01-10 10:00:00,89.99,89.99
2021-01-10 11:00:00,179.78,179.78
2021-01-10 12:00:00,202.25,202.25
2021-01-10 13:00:00,269.24,269.24
2021-01-10 14:00:00,359.23,359.23
2021-01-10 15:00:00,393.35,393.35
2021-01-10 16:00:00,389.27,389.27
2021-01-10 17:00:00,372.74,372.74
2021-01-10 18:00:00,356.82,356.82
2021-01-10 19:00:00,316.01,316.01
2021-01-10 20:00:00,280.11,280.11
2021-01-10 21:00:00,226.93,226.93
2021-01-10 22:00:00,203.44,203.44
2021-01-10 23:00:00,181.39,181.39
2021-01-11 00:00:00,141.51,141.51
2021-01-11 01:00:00,88.91,88.91
2021-01-11 02:00:00,64.91,64.91
2021-01-11 03:00:00,56.69,56.69
2021-01-11 04:00:00,67.1,67.1
2021-01-11 05:00:00,81.51,81.51
2021-01-11 06:00:00,106.16,106.16
2021-01-11 07:00:00,171.78,171.78
2021-01-11 08:00:00,232.56,232.56
2021-01-11 09:00:00,235.44,235.44
2021-01-11 10:00:00,212.87,212.87
2021-01-11 11:00:00,234.04,234.04
2021-01-11 12:00:00,299.7,299.7
2021-01-11 13:00:00,329.39,329.39
2021-01-11 14:00:00,325.31,325.31
2021-01-11 15:00:00,323.34,323.34
2021-01-11 16:00:00,318.12,318.12
2021-01-11 17:00:00,312.03,312.03
2021-01-11 18:00:00,326.19,326.19
2021-01-11 19:00:00,330.05,330.05
2021-01-11 20:00:00,317.33,317.33
2021-01-11 21:00:00,316.19,316.19
2021-01-11 22:00:00,325.26,325.26
2021-01-11 23:00:00,328.75,328.75
2021-01-12 00:00:00,315.77,315.77
2021-01-12 01:00:00,320.17,320.17
2021-01-12 02:00:00,328.56,328.56
2021-01-12 03:00:00,335.69,335.69
2021-01-12 04:00:00,279.79,279.79
2021-01-12 05:00:00,183.86,183.86
2021-01-12 06:00:00,166.22,166.22
2021-01-12 07:00:00,157.52,157.52
2021-01-12 08:00:00,110.46,110.46
2021-01-12 09:00:00,94.1,94.1
2021-01-12 10:00:00,151.58,151.58
2021-01-12 11:00:00,226.13,226.13
2021-01-12 12:00:00,252.89,252.89
2021-01-12 13:00:00,248.09,248.09
2021-01-12 14:00:00,246.03,246.03
2021-01-12 15:00:00,243.72,243.72
2021-01-12 16:00:00,239.64,239.64
2021-01-12 17:00:00,237.7,237.7
2021-01-12 18:00:00,238.34,238.34
2021-01-12 19:00:00,239.01,239.01
2021-01-12 20:00:00,239.05,239.05
2021-01-12 21:00:00,242.02,242.02
2021-01-12 22:00:00,247.7,247.7
2021-01-12 23:00:00,243.63,243.63
2021-01-13 00:00:00,225.31,225.31
2021-01-13 01:00:00,225.13,225.13
2021-01-13 02:00:00,217.98,217.98
2021-01-13 03:00:00,199.77,199.77
2021-01-13 04:00:00,194.92,194.92
2021-01-13 05:00:00,235.44,235.44
2021-01-13 06:00:00,281.99,281.99
2021-01-13 07:00:00,293.72,293.72
2021-01-13 08:00:00,295.37,295.37
2021-01-13 09:00:00,297.48,297.48
2021-01-13 10:00:00,287.63,287.63
2021-01-13 11:00:00,271.7,271.7
2021-01-13 12:00:00,259.59,259.59
2021-01-13 13:00:00,249.58,249.58
2021-01-13 14:00:00,242.76,242.76
2021-01-13 15:00:00,235.93,235.93
2021-01-13 16:00:00,230.01,230.01
2021-01-13 17:00:00,229.12,229.12
2021-01-13 18:00:00,230.47,230.47
2021-01-13 19:00:00,231.56,231.56
2021-01-13 20:00:00,221.04,221.04
2021-01-13 21:00:00,192.92,192.92
2021-01-13 22:00:00,170.4,170.4
2021-01-13 23:00:00,175.82,175.82
2021-01-14 00:00:00,189.33,189.33
2021-01-14 01:00:00,175.8,175.8
2021-01-14 02:00:00,164.39,164.39
2021-01-14 03:00:00,146.48,146.48
2021-01-14 04:00:00,110.9,110.9
2021-01-14 05:00:00,97.5,97.5
2021-01-14 06:00:00,89.09,89.09
2021-01-14 07:00:00,98.09,98.09
2021-01-14 08:00:00,101.04,101.04
2021-01-14 09:00:00,102.6,102.6
2021-01-14 10:00:00,124.99,124.99
2021-01-14 11:00:00,152.58,152.58
2021-01-14 12:00:00,138.02,138.02
2021-01-14 13:00:00,134.51,134.51
2021-01-14 14:00:00,141.06,141.06
2021-01-14 15:00:00,139.5,139.5
2021-01-14 16:00:00,136.56,136.56
2021-01-14 17:00:00,134.27,134.27
2021-01-14 18:00:00,132.83,132.83
2021-01-14 19:00:00,131.83,131.83
2021-01-14 20:00:00,132.09,132.09
2021-01-14 21:00:00,137.13,137.13
2021-01-14 22:00:00,139.28,139.28
2021-01-14 23:00:00,134.2,134.2
2021-01-15 00:00:00,127.69,127.69
2021-01-15 01:00:00,125.93,125.93
2021-01-15 02:00:00,114.67,114.67
2021-01-15 03:00:00,92.29,92.29
2021-01-15 04:00:00,80.07,80.07
2021-01-15 05:00:00,81.92,81.92
2021-01-15 06:00:00,84.47,84.47
2021-01-15 07:00:00,84.75,84.75
2021-01-15 08:00:00,87.69,87.69
2021-01-15 09:00:00,99.96,99.96
2021-01-15 10:00:00,130.25,130.25
2021-01-15 11:00:00,149.34,149.34
2021-01-15 12:00:00,169.27,169.27
2021-01-15 13:00:00,223.76,223.76
2021-01-15 14:00:00,225.54,225.54
2021-01-15 15:00:00,217.36,217.36
2021-01-15 16:00:00,212.39,212.39
2021-01-15 17:00:00,209.16,209.16
2021-01-15 18:00:00,209.19,209.19
2021-01-15 19:00:00,211.72,211.72
2021-01-15 20:00:00,217.52,217.52
2021-01-15 21:00:00,222.53,222.53
2021-01-15 22:00:00,222.76,222.76
2021-01-15 23:00:00,212.59,212.59
